,revenue,assets,ppe,goodwill,debt,shares,revenue_yoy,assets_yoy,ppe_yoy,debt_yoy,shares_yoy,assets_qoq,ppe_qoq,debt_qoq,shares_qoq,goodwill_jump
2009Q2,,16792752000.0,14445679000.0,,2760000000.0,,,,,,,,,,,
2009Q3,,17221293000.0,15252555000.0,,2760000000.0,,,,,,,2.519921854300027,5.435169130575835,0.0,,
2010Q1,,18509068000.0,16816935000.0,,2760000000.0,,,,,,,7.211419086750665,9.76393843930702,0.0,,
2010Q2,,19465683000.0,17424318000.0,,3734067000.0,,,,,,,5.039229491121941,3.548040231609386,30.226730845391874,,
2010Q3,1582075000.0,19944859000.0,18249810000.0,,3768638000.0,251015000.0,,17.20240511457162,23.375933031755633,31.148298324642386,,2.4318346823989856,4.628785230263391,0.9215674792505127,,
2010Q4,1789160000.0,,,,,,,,,,,,,,,
2011Q1,1897106000.0,23545522000.0,19641452000.0,,5004725000.0,255200000.0,,24.067487960571874,15.525581655046638,59.51517864736454,,,,,,
2011Q2,2570250000.0,23959379000.0,19996823000.0,,5006251000.0,265830000.0,,20.770678564694244,13.77065942232254,29.31893434018471,,1.742420095244309,1.7931179988852983,0.030486538212036386,4.0809455256685885,
2011Q3,2885744000.0,24794678000.0,20736198000.0,,5007746000.0,266053.0,60.10454757629441,21.765761747614185,12.77261997199857,28.42722506862302,-684.9572440229751,3.4269178653189147,3.6307457799394123,0.02985820768884259,-690.6916748654728,
2011Q4,2773015000.0,,,,,,43.818893995674934,,,,,,,,,
2012Q1,2806651000.0,25555536000.0,22133841000.0,,5010523000.0,266674000.0,39.16623905293923,8.191831260736356,11.94654733510828,0.11578346632503889,4.397938715106476,,,,,
2012Q2,2909319000.0,25998577000.0,22689714000.0,,5011893000.0,266874000.0,12.391586273705583,8.168195104009675,12.633828310465578,0.11263564581403512,0.3919630175948544,1.7187839385176082,2.4803989742426014,0.02733871770105432,0.07496982815696657,
2012Q3,2954855000.0,28032491000.0,23686450000.0,,6305277000.0,267941000.0,2.36668279516433,12.273519692936956,13.30222859479981,23.040098817632853,691.482654894813,7.532242454246191,4.299146064273654,22.95732137950765,0.39901701174520865,
2013Q1,3356514000.0,28232613000.0,23937970000.0,,5905917000.0,269358000.0,19.096775947642726,,,,,0.711356879016053,1.0562746529477387,-6.543217211997209,0.52745427971072,
2013Q2,3840185000.0,29077152000.0,24580388000.0,,5906210000.0,270016000.0,31.352858489968728,12.909874477364003,10.484118490629298,16.44640388842557,1.245427788017388,2.947491205584154,2.6482987991653184,0.004961003214061919,0.24398666840448852,
2013Q3,3541396000.0,30147270000.0,25599191000.0,,5906494000.0,270471000.0,19.66019665147857,14.805256605539382,12.06490553830276,16.423873553293895,1.3388246763526583,3.614166066692986,4.06118602191606,0.004808382569379565,0.1683667164922364,
2014Q1,4083671000.0,32141288000.0,26998437000.0,,5902952000.0,542278000.0,32.35467585010492,13.677720388277258,13.0875820756428,-6.5934337071129905,70.50119780520738,6.404706236984074,5.321822601613691,-0.059985880899244635,69.5613901405999,
