ticker,target_quarter,guidance_total_production,guidance_oil_production,filing_date,source,method,raw_text
FANG,2026Q3,1005.0,522.0,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm,fang_guidance,"Q3 2026 Oil production - MBO/d (total - 517 - 527 (995 - 1,015)"
FANG,2026Q2,970.0,520.0,2026-05-04,2026-05-04:EX-99.1:diamondbackex991-5x4x26.htm,fang_guidance,Q2 2026 Oil production - MBO/d (total - 515 - 525 (950 - 990)
FANG,2026Q1,948.0,507.0,2026-02-23,2026-02-23:EX-99.1:diamondbackex991-2x23x26.htm,fang_guidance,Q1 2026 Oil production - MBO/d (total - 502 - 512 (930 - 966)
FANG,2025Q4,945.0,510.0,2025-11-03,2025-11-03:EX-99.1:diamondbackex991-11x3x25.htm,fang_guidance,Q4 2025 Oil production - MBO/d (total - 505 - 515 (927 - 963)
FANG,2025Q3,905.0,490.0,2025-08-04,2025-08-04:EX-99.1:diamondbackex991-8x4x25.htm,fang_guidance,Q3 2025 Oil production - MBO/d (total - 485 - 495 (890 - 920)
FANG,2025Q2,883.0,492.5,2025-05-05,2025-05-05:EX-99.1:diamondbackex991-5x5x25.htm,fang_guidance,Q2 2025 Oil production - MBO/d (total - 485 - 500 (866 - 900)
FANG,2025Q1,867.5,472.5,2025-02-24,2025-02-24:EX-99.1:diamondbackex991-2x24x25.htm,fang_guidance,Q1 2025 Oil production - MBO/d (total - 470 - 475 (860 - 875)
FANG,2024Q4,845.0,472.5,2024-11-04,2024-11-04:EX-99.1:diamondbackex991-11x4x24.htm,fang_guidance,Q4 2024 Oil production - MBO/d (total - 470 - 475 (840 - 850)
FANG,2024Q3,462.5,273.0,2024-08-05,2024-08-05:EX-99.1:diamondbackex991-8x5x24.htm,fang_guidance,Q3 2024 oil production - MBO/d (total - 271 - 275 (459 - 466)
FANG,2024Q2,462.5,273.0,2024-04-30,2024-04-30:EX-99.1:diamondbackex991-4x30x24.htm,fang_guidance,Q2 2024 oil production - MBO/d (total - 271 - 275 (459 - 466)
FANG,2024Q1,461.0,272.0,2024-02-20,2024-02-20:EX-99.1:diamondbackex991-2x20x24.htm,fang_guidance,Q1 2024 oil production - MBO/d (total - 270 - 274 (458 - 464)
FANG,2023Q4,457.5,271.0,2023-11-06,2023-11-06:EX-99.1:diamondbackex991-11x6x23.htm,fang_guidance,Q4 2023 oil production - MBO/d (total - 269 - 273 (455 - 460)
FANG,2023Q3,442.5,263.5,2023-07-31,2023-07-31:EX-99.1:diamondbackex991-7x31x23.htm,fang_guidance,Q3 2023 oil production - MBO/d (total - 262 - 265 (440 - 445)
FANG,2023Q2,433.0,259.5,2023-05-01,2023-05-01:EX-99.1:diamondbackex991-5x1x23.htm,fang_guidance,Q2 2023 oil production - MBO/d (total - 258 - 261 (430 - 436)
FANG,2023Q1,418.5,250.0,2023-02-21,2023-02-21:EX-99.1:diamondbackex991-2x21x23.htm,fang_guidance,Q1 2023 oil production - MBO/d (total - 248 - 252 (415 - 422)
FANG,2022Q4,389.5,226.0,2022-11-07,2022-11-07:EX-99.1:diamondbackex991-11x7x22.htm,fang_guidance,Q4 2022 oil production - MBO/d (total - 224 - 228 (386 - 393)
FANG,2022Q3,374.0,220.0,2022-08-01,2022-08-01:EX-99.1:diamondbackex991-8x1x22.htm,fang_guidance,Q3 2022 oil production - MBO/d (total - 218 - 222 (370 - 378)
FANG,2022Q2,372.5,220.0,2022-05-02,2022-05-02:EX-99.1:diamondbackex991-5x2x22.htm,fang_guidance,Q2 2022 oil production - MBO/d (total - 218 - 222 (369 - 376)
FANG,2022Q1,372.5,220.0,2022-02-22,2022-02-22:EX-99.1:d302272dex991.htm,fang_guidance,Q1 2022 oil production - MBO/d (total - 218 - 222 (369 - 376)
FANG,2021Q4,371.5,223.0,2021-11-01,2021-11-01:EX-99.1:diamondbackex991-11x1x21.htm,fang_guidance,Q4 2021 oil production - MBO/d (total - 221 - 225 (368 - 375)
FANG,2021Q3,393.0,236.0,2021-08-02,2021-08-02:EX-99.1:diamondbackex991-8x2x21.htm,fang_guidance,Q3 2021 oil production - MBO/d (total - 233 - 239 (388 - 398)
FANG,2021Q2,390.5,234.0,2021-05-04,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm,fang_guidance,Q2 2021 oil production - MBO/d (total - 232.0 - 236.0 (387.0 - 394.0)
