quarter,oil_production,realized_combined_price,realized_gas_price,realized_oil_price,total_production
2020Q3,178.0,26.75,1.11,38.75,290.0
2020Q4,185.0,27.41,1.35,38.64,308.0
2021Q1,222.0,42.36,3.05,56.94,350.0
2021Q2,222.0,45.63,2.4,63.22,363.0
2021Q3,223.0,51.0,3.34,68.27,370.0
2021Q4,222.0,56.47,4.56,74.5,369.0
2022Q1,218.0,69.6,3.61,97.03,369.0
2022Q2,220.0,79.49,6.15,108.8,374.0
2022Q3,223.0,67.25,6.46,89.79,385.0
2022Q4,262.0,55.76,3.2,80.37,430.0
2023Q1,256.0,49.72,1.46,73.11,430.0
2023Q2,261.0,46.31,0.94,71.33,435.0
2023Q3,263.0,54.37,1.62,81.57,452.8
2023Q4,276.1,50.87,1.29,76.42,462.6
2024Q1,273.3,50.07,0.99,75.06,458.0
2024Q2,273.0,50.33,0.1,79.51,462.0
2024Q3,321.0,44.8,-0.26,73.13,587.0
2024Q4,498.0,42.71,0.48,69.48,598.0
2025Q1,475.9,47.77,2.11,70.95,857.0
2025Q2,495.7,39.61,0.88,63.23,890.0
2025Q3,503.8,39.73,0.75,64.6,910.0
2025Q4,512.8,34.02,0.03,58.0,926.0
2026Q1,521.0,43.4,0.18,73.47,972.0
2026Q2,525.0,51.68,-2.15,96.82,1018.0
