ticker,quarter,filing_date,total_production,oil_production,score,source,raw_text
EOG,2026Q2,2026-08-04,1232.2,1948.0,130,2026-08-04:EX-99.1:exh99-1080426.htm,EOG dedicated actual table parser
EOG,2026Q1,2026-05-05,1232.2,1948.0,130,2026-05-05:EX-99.1:exh99-1050526.htm,EOG dedicated actual table parser
EOG,2025Q4,2026-02-24,1232.2,1948.0,130,2026-02-24:EX-99.1:exh99-1022426.htm,EOG dedicated actual table parser
EOG,2025Q3,2025-11-06,1062.1,1948.0,130,2025-11-06:EX-99.1:exh99-1110625.htm,EOG dedicated actual table parser
EOG,2025Q2,2025-08-07,1062.1,1948.0,130,2025-08-07:EX-99.1:exh99-1080725.htm,EOG dedicated actual table parser
EOG,2025Q1,2025-05-01,1047.5,1872.0,130,2025-05-01:EX-99.1:exh99-1050125.htm,EOG dedicated actual table parser
EOG,2024Q4,2025-02-27,388.7,1668.0,130,2025-02-27:EX-99.1:exh99-1022725.htm,EOG dedicated actual table parser
EOG,2024Q3,2024-11-07,970.3,1668.0,130,2024-11-07:EX-99.1:exh99-1110724.htm,EOG dedicated actual table parser
EOG,2024Q2,2024-08-01,970.3,1668.0,130,2024-08-01:EX-99.1:exh99-1080124.htm,EOG dedicated actual table parser
EOG,2024Q1,2024-05-02,970.3,1668.0,130,2024-05-02:EX-99:exh99-1050224.htm,EOG dedicated actual table parser
EOG,2023Q4,2024-02-22,359.4,1458.0,130,2024-02-22:EX-99.1:exh99-1022224.htm,EOG dedicated actual table parser
EOG,2023Q3,2023-11-02,883.3,1458.0,130,2023-11-02:EX-99.1:exh99-1110223.htm,EOG dedicated actual table parser
EOG,2023Q2,2023-08-03,883.3,1458.0,130,2023-08-03:EX-99.1:exh99-1080323.htm,EOG dedicated actual table parser
EOG,2023Q1,2023-05-04,883.3,1458.0,130,2023-05-04:EX-99.1:exh99-1050423.htm,EOG dedicated actual table parser
EOG,2022Q4,2023-02-23,331.5,1534.0,130,2023-02-23:EX-99.1:exh99-1022323.htm,EOG dedicated actual table parser
EOG,2022Q3,2022-11-03,919.2,1469.0,130,2022-11-03:EX-99.1:exh99-1110322.htm,EOG dedicated actual table parser
EOG,2022Q2,2022-08-04,920.7,1528.0,130,2022-08-04:EX-99.1:exh99-1080422.htm,EOG dedicated actual table parser
EOG,2022Q1,2022-05-05,883.3,1458.0,130,2022-05-05:EX-99.1:exh99-1050522.htm,EOG dedicated actual table parser
EOG,2021Q4,2022-02-24,302.5,1534.0,130,2022-02-24:EX-99.1:exh99-1022422.htm,EOG dedicated actual table parser
EOG,2021Q3,2021-11-04,844.4,1422.0,130,2021-11-04:EX-99.1:exh99-1110421.htm,EOG dedicated actual table parser
EOG,2021Q2,2021-08-04,828.0,1445.0,130,2021-08-04:EX-99.1:exh99-1080421.htm,EOG dedicated actual table parser
EOG,2021Q1,2021-05-06,778.9,1378.0,130,2021-05-06:EX-99.1:exh99-1050621.htm,EOG dedicated actual table parser
EOG,2020Q4,2021-02-25,801.5,1292.0,130,2021-02-25:EX-99.1:exh99-1022521.htm,EOG dedicated actual table parser
EOG,2020Q3,2020-11-05,716.0,1190.0,130,2020-11-05:EX-99.1:exh99-1110520.htm,EOG dedicated actual table parser
EOG,2020Q2,2020-08-06,623.4,1147.0,130,2020-08-06:EX-99.1:exh99-1080620.htm,EOG dedicated actual table parser
EOG,2020Q1,2020-05-07,874.1,1378.0,130,2020-05-07:EX-99.1:exh99-1050720.htm,EOG dedicated actual table parser
EOG,2019Q4,2020-02-27,850.3,1425.0,130,2020-02-27:EX-99.1:exh99-1022720.htm,EOG dedicated actual table parser
EOG,2019Q3,2019-11-06,834.2,1373.0,130,2019-11-06:EX-99.1:exh99-1110619.htm,EOG dedicated actual table parser
EOG,2019Q2,2019-08-01,812.8,1356.0,130,2019-08-01:EX-99.1:exh99-1080119.htm,EOG dedicated actual table parser
EOG,2019Q1,2019-05-02,716.75,1242.0,130,2019-05-02:EX-99.1:exh99-1050219.htm,EOG dedicated actual table parser
EOG,2018Q4,2019-02-26,719.2,1219.0,130,2019-02-26:EX-99:exh99-1022619.htm,EOG dedicated actual table parser
EOG,2018Q3,2018-11-01,673.45,1166.0,130,2018-11-01:EX-99.1:exh99-1110118.htm,EOG dedicated actual table parser
EOG,2018Q2,2018-08-02,653.05,1162.0,130,2018-08-02:EX-99.1:exh99-1080218.htm,EOG dedicated actual table parser
EOG,2018Q1,2018-05-03,615.3,1117.0,130,2018-05-03:EX-99.1:exh99-1050318.htm,EOG dedicated actual table parser
EOG,2017Q4,2018-02-27,608.9,1152.5,130,2018-02-27:EX-99.1:exh99-1022718.htm,EOG dedicated actual table parser
EOG,2017Q3,2017-11-02,591.0,1120.0,130,2017-11-02:EX-99.1:exh99-1110217.htm,EOG dedicated actual table parser
EOG,2017Q2,2017-08-01,587.4,1145.0,130,2017-08-01:EX-99.1:exh99-1080117.htm,EOG dedicated actual table parser
EOG,2017Q1,2017-05-08,560.3,1136.5,130,2017-05-08:EX-99.1:exh99-1050817.htm,EOG dedicated actual table parser
EOG,2016Q4,2017-02-27,560.0,1175.0,130,2017-02-27:EX-99.1:exh99-1022717.htm,EOG dedicated actual table parser
EOG,2016Q3,2016-11-03,552.1,1184.0,130,2016-11-03:EX-99.1:exh99-1110316.htm,EOG dedicated actual table parser
