oil,ngl,gas,reported_total,filing_date,table_index,table_context,quarter,oil_production,ngl_production,gas_production,reported_total_production,reconstructed_total_production,reconstruction_error_pct,total_production,component_qc_flag,data_quality_score
,77.8,1274.0,569.6,2015-11-05,35,,2015Q3,,77.8,1274.0,569.6,,,569.6,REPORTED_ONLY,0.7
,79.1,1257.0,569.5,2016-02-25,32,,2015Q4,,79.1,1257.0,569.5,,,569.5,REPORTED_ONLY,0.7
,79.4,1215.0,549.9,2016-05-05,34,,2016Q1,,79.4,1215.0,549.9,,,549.9,REPORTED_ONLY,0.7
,84.3,1194.0,551.1,2016-08-04,32,,2016Q2,,84.3,1194.0,551.1,,,551.1,REPORTED_ONLY,0.7
,81.9,1144.0,555.2,2016-11-03,31,,2016Q3,,81.9,1144.0,555.2,,,555.2,REPORTED_ONLY,0.7
,80.9,1145.0,583.5,2017-02-27,33,,2016Q4,,80.9,1145.0,583.5,,,583.5,REPORTED_ONLY,0.7
,78.8,1058.0,570.7,2017-05-08,31,,2017Q1,,78.8,1058.0,570.7,,,570.7,REPORTED_ONLY,0.7
,86.6,1096.0,603.9,2017-08-01,32,,2017Q2,,86.6,1096.0,603.9,,,603.9,REPORTED_ONLY,0.7
,87.4,1096.0,598.1,2017-11-02,32,,2017Q3,,87.4,1096.0,598.1,,,598.1,REPORTED_ONLY,0.7
,100.6,1160.0,662.0,2018-02-27,33,,2017Q4,,100.6,1160.0,662.0,,,662.0,REPORTED_ONLY,0.7
,100.6,1176.0,659.9,2018-05-03,36,,2018Q1,,100.6,1176.0,659.9,,,659.9,REPORTED_ONLY,0.7
,112.9,1228.0,702.2,2018-08-02,31,,2018Q2,,112.9,1228.0,702.2,,,702.2,REPORTED_ONLY,0.7
,127.8,1236.0,748.8,2018-11-01,31,,2018Q3,,127.8,1236.0,748.8,,,748.8,REPORTED_ONLY,0.7
,122.8,1236.0,764.5,2019-02-26,30,,2018Q4,,122.8,1236.0,764.5,,,764.5,REPORTED_ONLY,0.7
,119.8,1308.0,773.6,2019-05-02,32,,2019Q1,,119.8,1308.0,773.6,,,773.6,REPORTED_ONLY,0.7
,131.1,1356.0,812.8,2019-08-01,29,,2019Q2,,131.1,1356.0,812.8,,,812.8,REPORTED_ONLY,0.7
,141.3,1373.0,834.2,2019-11-06,33,,2019Q3,,141.3,1373.0,834.2,,,834.2,REPORTED_ONLY,0.7
,144.0,1425.0,850.3,2020-02-27,34,,2019Q4,,144.0,1425.0,850.3,,,850.3,REPORTED_ONLY,0.7
,161.3,1378.0,874.1,2020-05-07,31,,2020Q1,,161.3,1378.0,874.1,,,874.1,REPORTED_ONLY,0.7
,101.2,1147.0,623.4,2020-08-06,2,Gains (Losses) on Mark-to-Market Commodity Derivative Contracts Income (Loss) Before Interest Expense and Income Taxes 7,2020Q2,,101.2,1147.0,623.4,,,623.4,REPORTED_ONLY,0.7
,140.1,1190.0,716.0,2020-11-05,2,Gains (Losses) on Mark-to-Market Commodity Derivative Contracts 8,2020Q3,,140.1,1190.0,716.0,,,716.0,REPORTED_ONLY,0.7
,141.4,1292.0,801.5,2021-02-25,2,15,2020Q4,,141.4,1292.0,801.5,,,801.5,REPORTED_ONLY,0.7
,124.3,1342.0,778.9,2021-05-06,2,12,2021Q1,,124.3,1342.0,778.9,,,778.9,REPORTED_ONLY,0.7
,138.5,1445.0,828.0,2021-08-04,2,12,2021Q2,,138.5,1445.0,828.0,,,828.0,REPORTED_ONLY,0.7
,157.9,1422.0,844.4,2021-11-04,2,12 13,2021Q3,,157.9,1422.0,844.4,,,844.4,REPORTED_ONLY,0.7
,156.9,1534.0,863.1,2022-02-24,2,14 15,2021Q4,,156.9,1534.0,863.1,,,863.1,REPORTED_ONLY,0.7
,190.3,1458.0,883.3,2022-05-05,2,12 13,2022Q1,,190.3,1458.0,883.3,,,883.3,REPORTED_ONLY,0.7
,201.9,1528.0,920.7,2022-08-04,2,12 13,2022Q2,,201.9,1528.0,920.7,,,920.7,REPORTED_ONLY,0.7
