quarter,total_production,oil_production
2019Q4,301.3,195.0
2020Q1,321.1,201.4
2020Q2,294.1,176.3
2020Q3,287.3,170.0
2020Q4,325.0,185.0
2021Q1,307.4,184.2
2021Q2,370.0,222.0
2021Q3,372.0,223.0
2021Q4,376.0,222.0
2022Q1,381.4,222.8
2022Q2,380.5,221.1
2022Q3,50.0,37.0
2022Q4,440.0,262.0
2023Q1,425.0,251.4
2023Q2,449.9,263.1
2023Q3,452.8,266.1
2023Q4,466.0,275.0
2024Q1,461.1,273.3
2024Q2,474.7,276.1
2024Q3,571.1,321.1
2024Q4,909.0,498.0
2025Q1,850.7,475.9
2025Q2,919.9,495.7
2025Q3,942.9,503.8
2025Q4,969.1,512.8
2026Q1,979.4,521.0
2026Q2,1018.0,525.0
