ticker,quarter,filing_date,total_production,oil_production,score,source,raw_text
DVN,2016Q4,2017-02-14,,244.0,120,2017-02-14:EX-99.1:d291404dex991.htm,"oil production averaged 244,000 barrels per day"
DVN,2017Q1,2017-05-02,,261.0,120,2017-05-02:EX-99.1:d387659dex991.htm,"Oil production averaged 261,000 barrels per day"
DVN,2017Q4,2018-02-20,548.0,,120,2018-02-20:EX-99.1:d541284dex991.htm,"production averaged 548,000 Boe per day"
DVN,2018Q2,2018-07-31,541.0,109.0,120,2018-07-31:EX-99.1:d572260dex991.htm,"production averaged 541,000 Boe per day oil production averaged 109,000 barrels per day"
DVN,2018Q3,2018-11-06,418.0,,120,2018-11-06:EX-99.1:d573072dex991.htm,"production averaged 418,000 Boe per day"
DVN,2018Q4,2019-02-19,61.0,,120,2019-02-19:EX-99.3:d702577dex993.htm,production averaged 61 MBOED
DVN,2019Q1,2020-05-05,29.0,163.0,120,2020-05-05:EX-99.1:dvn-ex991_7.htm,"production averaged 29,000 Boe per day Oil production averaged 163,000 barrels per day"
DVN,2019Q2,2020-08-04,149.0,153.0,120,2020-08-04:EX-99.1:d942475dex991.htm,"production averaged 149,000 Boe per day oil production totaled 153,000 barrels per day"
DVN,2019Q3,2020-10-29,155.0,146.0,120,2020-10-29:EX-99.1:d95802dex991.htm,"production averaged 155,000 Boe per day oil production totaled 146,000 barrels per day"
DVN,2019Q4,2021-02-17,584.0,156.0,120,2021-02-17:EX-99.1:d107839dex991.htm,"production averaged 584,000 Boe per day Oil production averaged 156,000 barrels per day"
DVN,2020Q1,2020-05-05,162.0,,120,2020-05-05:EX-99.2:dvn-ex992_8.htm,production averaged 162 MBOED
DVN,2020Q2,2020-08-04,24.0,,120,2020-08-04:EX-99.2:d942475dex992.htm,production averaged 24 MBOED
DVN,2020Q4,2021-11-02,409.0,,120,2021-11-02:EX-99.1:d202323dex991.htm,"Production averaged 409,000 Boe per day"
DVN,2021Q2,2021-08-03,358.0,291.0,120,2021-08-03:EX-99.1:d197325dex991.htm,"Production averaged 358,000 Boe per day Oil production averaged 291,000 barrels per day"
DVN,2021Q4,2022-02-15,416.0,,120,2022-02-15:EX-99.1:d312748dex991.htm,"Production averaged 416,000 Boe per day"
DVN,2022Q1,2022-05-02,394.0,,120,2022-05-02:EX-99.1:d228641dex991.htm,"Production averaged 394,000 Boe per day"
DVN,2022Q2,2022-08-01,74.0,,120,2022-08-01:EX-99.1:d727187dex991.htm,"Production averaged 74,000 Boe per day"
DVN,2022Q4,2023-02-14,407.0,,120,2023-02-14:EX-99.1:d453066dex991.htm,"Production averaged 407,000 Boe per day"
DVN,2023Q1,2023-05-08,68.0,320.0,120,2023-05-08:EX-99.1:d263170dex991.htm,"Production averaged 68,000 Boe per day Oil production averaged 320,000 barrels per day"
DVN,2023Q2,2023-08-01,420.0,323.0,120,2023-08-01:EX-99.1:d514590dex991.htm,"Production averaged 420,000 Boe per day Oil production averaged 323,000 barrels per day"
DVN,2023Q3,2023-11-07,,321.0,120,2023-11-07:EX-99.1:d564312dex991.htm,"Oil totaled 321,000 barrels per day"
DVN,2024Q1,2024-05-01,,319.0,120,2024-05-01:EX-99.1:d804489dex991.htm,"oil production totaled 319,000 barrels per day"
DVN,2025Q1,2026-02-17,851.0,390.0,120,2026-02-17:EX-99.1:d111666dex991.htm,"Production averaged 851,000 Boe per day Oil totaled 390,000 barrels per day"
DVN,2025Q2,2025-08-05,841.0,387.0,120,2025-08-05:EX-99.1:d27924dex991.htm,"Production averaged 841,000 Boe per day Oil totaled 387,000 barrels per day"
DVN,2025Q3,2025-11-05,853.0,390.0,120,2025-11-05:EX-99.1:d45994dex991.htm,"Production averaged 853,000 Boe per day Oil totaled 390,000 barrels per day"
DVN,2026Q1,2026-05-05,833.0,387.0,120,2026-05-05:EX-99.1:d947371dex991.htm,"Production averaged 833,000 Boe per day Oil totaled 387,000 barrels per day"
DVN,2026Q2,2026-08-04,1359.0,503.0,120,2026-08-04:EX-99.1:d359332dex991.htm,"Production averaged 1,359,000 Boe per day Oil totaled 503,000 barrels per day"
