ticker,candidate_id,error_class,count,auto_error
CSCO,e796682ba82f9d65d39a,TABLE_ROUTING,1,0
CSCO,999b882ab7994a3c636d,UNSUPPORTED_COMPARATIVE,6,0
CSCO,29c1b09eddb0ac43ddf6,UNSUPPORTED_CHANGE_BY,2,0
CSCO,29c1b09eddb0ac43ddf6,UNSUPPORTED_CHANGE_TO,2,0
CSCO,8d0848962dce6391bc90,UNSUPPORTED_COMPARATIVE,3,0
CVS,252060a5c7576708e3b7,UNSUPPORTED_CHANGE_BY,1,0
CVS,daccf1335c8eb0d276b4,UNSUPPORTED_CHANGE_BY,1,0
DECK,7e281549c06f69439aa5,UNSUPPORTED_COMPARATIVE,2,0
DECK,63d1c9cf1998d3087206,UNSUPPORTED_CHANGE_BY,5,0
DECK,63d1c9cf1998d3087206,UNSUPPORTED_COMPARATIVE,5,0
DECK,63d1c9cf1998d3087206,UNSUPPORTED_CHANGE_TO,5,0
INTC,a3d03531ac88087e60c4,TABLE_ROUTING,1,0
INTC,851a6a841542bfc8c90b,TABLE_ROUTING,1,0
INTC,bbfefea7ef96d0422698,TABLE_ROUTING,1,0
LEN,f0c8d74c27c115aee68d,UNSUPPORTED_CHANGE_BY,1,0
ORCL,6bfde5590e33555433e3,UNSUPPORTED_CAUSE_EFFECT,2,0
ORCL,6bf31479a804e28003b2,UNSUPPORTED_CHANGE_TO,2,0
ORCL,a30b7a9292570345656a,UNSUPPORTED_CAUSE_EFFECT,3,0
ORCL,a30b7a9292570345656a,UNSUPPORTED_CHANGE_TO,3,0
PH,2a0f5eb275c676cb2186,UNSUPPORTED_CHANGE_BY,1,0
PH,2a0f5eb275c676cb2186,UNSUPPORTED_CHANGE_TO,1,0
PH,733a93362a03532f659e,UNSUPPORTED_RANGE_GUIDANCE,1,0
PH,9cfaa875a0bc10045d47,UNSUPPORTED_CHANGE_TO,1,0
UNH,46558e819af835788c43,UNSUPPORTED_COMPARATIVE,2,0
UNH,09e8cc9823f48cd49ebe,TABLE_ROUTING,1,0
UNH,27d38a932316d07dbc44,TABLE_ROUTING,1,0
UNH,3fd4b93ce8f006dacdfa,UNSUPPORTED_COMPARATIVE,2,0
UNH,126a3fb6cebd6dee810d,TABLE_ROUTING,1,0
URI,da451f940ee539e64d28,UNSUPPORTED_CHANGE_TO,1,0
URI,08430834ed3a81443a51,UNSUPPORTED_CHANGE_BY,1,0
URI,513cdd3fb436360b7eb3,TABLE_ROUTING,1,0
