,COP,DVN,EOG,FANG
wti_yoy,68.11594202898551,72.3076923076923,70.1492537313433,85.45454545454545
henry_yoy,68.11594202898551,72.3076923076923,70.1492537313433,85.45454545454545
crude_prod_yoy_l1,66.66666666666666,70.76923076923077,68.65671641791045,83.63636363636363
gas_prod_yoy_l1,66.66666666666666,70.76923076923077,68.65671641791045,83.63636363636363
bea_go_yoy_l1,66.66666666666666,70.76923076923077,68.65671641791045,83.63636363636363
revenue_yoy_l1_clip,86.95652173913044,80.0,59.70149253731343,45.45454545454545
assets_yoy_l1_clip,69.56521739130434,72.3076923076923,70.1492537313433,69.0909090909091
ppe_yoy_l1_clip,62.31884057971014,72.3076923076923,70.1492537313433,69.0909090909091
debt_yoy_l1_clip,13.043478260869565,72.3076923076923,70.1492537313433,63.63636363636363
shares_yoy_l1_clip,65.21739130434783,53.84615384615385,47.76119402985074,67.27272727272727
goodwill_jump_l1_clip,8.695652173913043,66.15384615384615,0.0,0.0
ma_assets_interaction,69.56521739130434,72.3076923076923,70.1492537313433,69.0909090909091
ma_ppe_interaction,62.31884057971014,72.3076923076923,70.1492537313433,69.0909090909091
ma_debt_interaction,13.043478260869565,72.3076923076923,70.1492537313433,63.63636363636363
ma_shares_interaction,65.21739130434783,53.84615384615385,47.76119402985074,67.27272727272727
ma_goodwill_interaction,8.695652173913043,66.15384615384615,0.0,0.0
