ticker,quarter,kpi,value,score,filing_date,source,method,raw_text
FANG,2020Q3,oil_production,178.0,80,2020-11-02,2020-11-02:EX-99.1:diamondbackex991-11x2x.htm:table2,table,Oil production - MBO/d | Oil production - MBO/d | Oil production - MBO/d | 178.0 - 182.0 | 178.0 - 182.0 | 178.0 - 182.0 | 15.75 - 16.00 | 15.75 - 16.00 | 15.75 - 16.00
FANG,2020Q3,realized_combined_price,26.75,80,2020-11-02,2020-11-02:EX-99.1:diamondbackex991-11x2x.htm:table6,table,Combined ($ per BOE) | Combined ($ per BOE) | Combined ($ per BOE) | $ | 26.75 | | | | | $ | 15.39 | | | | | $ | 36.20 |
FANG,2020Q3,realized_gas_price,1.11,95,2020-11-02,2020-11-02:EX-99.1:diamondbackex991-11x2x.htm,prose,"realized prices were $38.75 per barrel of oil, $1.11 per Mcf of natural gas"
FANG,2020Q3,realized_oil_price,38.75,95,2020-11-02,2020-11-02:EX-99.1:diamondbackex991-11x2x.htm,prose,average unhedged realized prices were $38.75 per barrel of oil
FANG,2020Q3,total_production,290.0,80,2020-11-02,2020-11-02:EX-99.1:diamondbackex991-11x2x.htm:table2,table,Total net production - MBOE/d | Total net production - MBOE/d | Total net production - MBOE/d | 290.0 - 305.0 | 290.0 - 305.0 | 290.0 - 305.0 | 26.00 - 26.50 | 26.00 - 26.50 | 26.00 - 26.50
FANG,2020Q4,oil_production,185.0,100,2021-02-22,2021-02-22:EX-99.1:diamondbackex991-2x22x21.htm,prose,oil production guidance of 178 - 185 MBO/d
FANG,2020Q4,realized_combined_price,27.41,80,2021-02-22,2021-02-22:EX-99.1:diamondbackex991-2x22x21.htm:table8,table,Combined ($ per BOE) | Combined ($ per BOE) | Combined ($ per BOE) | $ | 27.41 | | | | | $ | 39.28 | | | | | $ | 25.07 | | | | | $ | 37.63 |
FANG,2020Q4,realized_gas_price,1.35,95,2021-02-22,2021-02-22:EX-99.1:diamondbackex991-2x22x21.htm,prose,"realized prices were $38.64 per barrel of oil, $1.35 per Mcf of natural gas"
FANG,2020Q4,realized_oil_price,38.64,95,2021-02-22,2021-02-22:EX-99.1:diamondbackex991-2x22x21.htm,prose,average unhedged realized prices were $38.64 per barrel of oil
FANG,2020Q4,total_production,308.0,80,2021-02-22,2021-02-22:EX-99.1:diamondbackex991-2x22x21.htm:table4,table,Total net production - MBOE/d | Total net production - MBOE/d | Total net production - MBOE/d | 308.0 - 325.0 | 308.0 - 325.0 | 308.0 - 325.0 | 24.50 - 26.50 | 24.50 - 26.50 | 24.50 - 26.50
FANG,2021Q1,oil_production,222.0,100,2021-04-16,2021-04-16:EX-99.1:diamondbackex991-4x12x21.htm,prose,oil production guidance of 218 - 222 MBO/d
FANG,2021Q1,realized_combined_price,42.36,80,2021-05-04,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm:table6,table,Combined ($ per BOE) | Combined ($ per BOE) | Combined ($ per BOE) | $ | 42.36 | | | | | $ | 30.23 |
FANG,2021Q1,realized_gas_price,3.05,95,2021-05-04,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm,prose,"realized prices were $56.94 per barrel of oil, $3.05 per Mcf of natural gas"
FANG,2021Q1,realized_oil_price,56.94,95,2021-05-04,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm,prose,average unhedged realized prices were $56.94 per barrel of oil
FANG,2021Q1,total_production,350.0,80,2021-05-04,2021-05-04:EX-99.1:diamondbackex991-5x3x21.htm:table2,table,Total net production - MBOE/d(a) | Total net production - MBOE/d(a) | Total net production - MBOE/d(a) | 350.0 - 360.0 | 350.0 - 360.0 | 350.0 - 360.0 | 25.00 - 27.00 | 25.00 - 27.00 | 25.00 - 27.00
