ticker,target_quarter,filing_date,guidance_total_production,guidance_oil_production,score,source,raw_text
COP,2021Q2,2021-05-04,1520.0,,150,2021-05-04:EX-99.1:a52421830ex99_1.htm,Second-quarter 2021 production excluding Libya is expected to be 1.50 to 1.54 MMBOED
COP,2021Q3,2021-08-03,1500.0,,150,2021-08-03:EX-99.1:a52469309ex99_1.htm,Third-quarter 2021 production is expected to be 1.48 to 1.52 MMBOED
COP,2021Q4,2021-11-02,1550.0,,150,2021-11-02:EX-99.1:a52518498ex99_1.htm,Fourth-quarter 2021 production is expected to be 1.53 to 1.57 MMBOED
COP,2022Q2,2022-05-05,1700.0,,150,2022-05-05:EX-99.1:a52707191ex99_1.htm,Second-quarter 2022 production is expected to be 1.67 to 1.73 million barrels of oil equivalent per day
COP,2022Q3,2022-08-04,1730.0,,150,2022-08-04:EX-99.1:a52799854ex99_1.htm,Third-quarter 2022 production is expected to be 1.70 to 1.76 million barrels of oil equivalent per day
COP,2022Q4,2022-11-03,1770.0,,150,2022-11-03:EX-99.1:a52958538ex99_1.htm,Fourth-quarter 2022 production is expected to be 1.74 to 1.80 million barrels of oil equivalent per day
COP,2023Q2,2023-05-04,1790.0,,150,2023-05-04:EX-99.1:a53392156ex99_1.htm,Second-quarter 2023 production is expected to be 1.77 to 1.81 million barrels of oil equivalent per day
COP,2023Q3,2023-08-03,1800.0,,150,2023-08-03:EX-99.1:a53499608ex99_1.htm,Third-quarter 2023 production is expected to be 1.78 to 1.82 million barrels of oil equivalent per day
COP,2023Q4,2023-11-02,1880.0,,150,2023-11-02:EX-99.1:cop-20231102x8kexx991.htm,Fourth-quarter 2023 production is expected to be 1.86 to 1.90 million barrels of oil equivalent per day
COP,2024Q1,2024-02-08,1900.0,,150,2024-02-08:EX-99.1:cop-20240208x8kexx991.htm,First-quarter 2024 production is expected to be 1.88 to 1.92 MMBOED
COP,2024Q2,2024-05-02,1930.0,,150,2024-05-02:EX-99.1:cop-20240502x8kexx991.htm,Second-quarter 2024 production is expected to be 1.91 to 1.95 million barrels of oil equivalent per day
COP,2024Q3,2024-08-01,1890.0,,150,2024-08-01:EX-99.1:cop-20240801x8kexx991.htm,Third-quarter 2024 production is expected to be 1.87 to 1.91 million barrels of oil equivalent per day
COP,2024Q4,2024-10-31,2010.0,,150,2024-10-31:EX-99.1:cop-20241031x8kexx991.htm,Fourth-quarter 2024 production is expected to be 1.99 to 2.03 million barrels of oil equivalent per day
COP,2025Q1,2025-02-06,2360.0,,150,2025-02-06:EX-99.1:cop-20250206x8kexx991.htm,First-quarter 2025 production is expected to be 2.34 to 2.38 MMBOED
COP,2025Q2,2025-05-08,2360.0,,150,2025-05-08:EX-99.1:cop-20250508x8kexx991.htm,Second-quarter 2025 production is expected to be 2.34 to 2.38 million barrels of oil equivalent per day
COP,2025Q3,2025-08-07,2350.0,,150,2025-08-07:EX-99.1:cop-20250807x8kexx991.htm,Third-quarter 2025 production is expected to be 2.33 to 2.37 million barrels of oil equivalent per day
COP,2025Q4,2025-11-06,2320.0,,150,2025-11-06:EX-99.1:cop-20251106x8kexx991.htm,Fourth-quarter 2025 production is expected to be 2.30 to 2.34 million barrels of oil equivalent per day
COP,2026Q1,2026-02-05,2320.0,,150,2026-02-05:EX-99.1:cop-20260205x8kexx991.htm,First-quarter 2026 production is expected to be 2.30 to 2.34 MMBOED
COP,2026Q2,2026-04-30,2200.0,,150,2026-04-30:EX-99.1:cop-20260430x8kexx991.htm,Second-quarter production is expected to be 2.185 to 2.215 million barrels of oil equivalent per day
COP,2026Q3,2026-08-06,2305.0,,150,2026-08-06:EX-99.1:cop-20260806x8kexx991.htm,Third-quarter 2026 production is expected to be 2.29 to 2.32 million barrels of oil equivalent per day
