,coefficient
wti_yoy,27.344318725898415
ppe_yoy_l1,8.388882275761835
ma_5q_window,6.915652005433244
revenue_yoy_l1,5.162502847449522
crude_prod_yoy_l1,4.907551461071105
gas_prod_yoy_l1,-4.861051266539588
debt_yoy_l1,4.349594331272461
ma_event,-3.1986670439863767
henry_yoy,2.7310902620735273
bea_go_yoy_l1,2.6394735356352412
ticker_FANG,2.179500776477845
ticker_DVN,2.1593487595514285
ticker_EOG,2.1250864468540063
shares_yoy_l1,-1.1906362664693546
ma_base_distortion,-0.6302382609206029
ma_scale_proxy_l1,-0.31495789407865404
assets_yoy_l1,0.0
goodwill_jump_l1,0.0
