ticker,subindustry,market_enterprise_value_usd,our_base_growth_pct,market_implied_growth_pct,growth_expectations_gap_pct_points,growth_solver_residual_pct_of_market_ev,our_base_operating_margin_pct,market_implied_operating_margin_pct,margin_expectations_gap_pct_points,margin_solver_residual_pct_of_market_ev,our_base_roic_pct,market_implied_roic_pct,roic_expectations_gap_pct_points,roic_solver_residual_pct_of_market_ev,our_competitive_advantage_period_years,market_implied_competitive_advantage_period_years,cap_expectations_gap_years,cap_solver_residual_pct_of_market_ev,reverse_dcf_method,production_eligible
AR,ep,14419974414.505003,18.95976397361393,32.1,-13.14023602638607,0.021550186975313593,13.654051084597409,17.6,-3.9459489154025924,0.08858010181528418,5.926828537431934,10.0,-4.073171462568066,0.19242322200652495,5,16,-11,0.46863004933489666,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
BKR,services,63245562722.357666,1.5559782197755334,45.900000000000006,-44.34402178022447,-0.061137322924258046,9.278203944050993,18.0,-8.721796055949007,0.09421415887170048,8.954814082533241,60.0,-51.04518591746676,-36.1555204501738,5,1,4,-48.291004175527576,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
CNX,ep,7507230404.191071,-15.0,-7.699999999999999,-7.300000000000001,-44.80520606611458,40.28486193153972,60.0,-19.715138068460277,-25.779628303284834,2.0,3.0,-1.0,0.9500116262469374,5,20,-15,-9.502029935187695,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
COP,ep,181761306775.3888,20.0,-9.099999999999998,29.099999999999998,-0.00939595203957516,32.37866110574785,19.700000000000003,12.67866110574785,-0.022234074655548823,18.012592974836704,5.5,12.512592974836704,-0.17004804215741914,5,1,4,37.04638112676397,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
CVX,integrated,408327274956.66345,15.0,26.800000000000004,-11.800000000000004,-0.010734148207271924,13.806993532566478,16.4,-2.5930064674335203,-0.2554543671519663,11.858607634388527,23.5,-11.641392365611473,-0.027855686391279885,5,11,-6,0.8356559604393727,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
DVN,ep,37133739051.81885,20.0,-22.7,42.7,0.0651740769930709,25.328192134033834,11.200000000000003,14.128192134033831,-0.3051133303993427,16.247171398553256,3.9000000000000004,12.347171398553256,0.49066635663867675,5,1,4,89.36219827228288,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
EOG,ep,85600798141.95328,20.0,-16.7,36.7,0.10647222623537303,33.141800142848666,16.4,16.741800142848668,0.08479064011745892,23.213183285130413,4.7,18.513183285130413,1.017859798949677,5,1,4,66.65331040428103,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
EPD,midstream,115958325849.31642,12.0,-10.599999999999998,22.599999999999998,-0.02281733001678372,13.85503366170121,9.900000000000002,3.955033661701208,0.19316967749921585,11.317283383875505,5.800000000000001,5.517283383875505,-0.5330838733941587,5,2,3,29.5554709833462,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
EQT,ep,39266521923.52295,-14.161127648069428,50.0,-64.16112764806942,-70.83242390231938,13.333246988131787,60.0,-46.66675301186821,-9.043746205201618,2.827381687448481,60.0,-57.17261831255152,-60.535505545953725,5,13,-8,-78.1869341567794,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
ET,midstream,141301909000.0,12.0,4.600000000000001,7.399999999999999,-0.024295305613919408,10.5799230499046,10.3,0.2799230499045997,0.4173351056819536,8.349141876186199,7.9,0.4491418761861983,-0.10315936720445207,5,1,4,0.18221081864354546,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
FANG,ep,73002338287.24002,20.0,-27.0,47.0,0.1405082731527983,50.0,19.300000000000004,30.699999999999996,0.1809284661469836,15.746899375756083,3.4000000000000004,12.346899375756083,-2.244849552987566,5,2,3,116.83042749037682,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
HAL,services,34679956082.37158,0.22995905975000674,-10.899999999999999,11.129959059750005,-0.07508967535697801,13.32719405131007,11.0,2.3271940513100695,-0.3999961907729376,15.055002427183206,6.7,8.355002427183205,0.2184600374119306,5,20,-15,14.005917748882652,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
KMI,midstream,100909100933.41559,11.511156186612581,41.400000000000006,-29.888843813387425,-0.035985991837244664,27.04489493637857,48.400000000000006,-21.355105063621437,0.09047582002964175,5.2816385480989005,25.200000000000003,-19.918361451901102,0.01752595666271384,5,2,3,-42.72179774065593,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
MGY,ep,5473504046.376756,-0.8319554298391874,-24.5,23.668044570160813,0.012463216271613715,45.488414931776006,26.6,18.888414931776005,0.13790418778993763,30.673019822640263,3.8000000000000003,26.873019822640263,0.6326277762296866,5,20,-15,51.68470424512941,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
MPC,refining,135981383333.56796,20.0,-1.5999999999999979,21.599999999999998,-0.04185573056683512,6.450869821050619,4.700000000000003,1.7508698210506157,-0.0836900332475885,14.031673591020162,6.5,7.531673591020162,-0.38842839920820704,5,1,4,16.70354336431301,ONE_VARIABLE_AT_A_TIME_GRID_HOLDING_BASE_ASSUMPTIONS,False
