ticker,subindustry,market_price,shares_outstanding,market_cap_usd,market_cap_recalculated_usd,market_cap_reconciliation_error_usd,total_debt_usd,adjusted_total_debt_usd,debt_double_count_adjustment_usd,debt_semantics_method,cash_usd,adjusted_net_debt_usd,conditional_debt_reference_usd,conditional_debt_reference_usd_source_tag,noncontrolling_interest_usd,preferred_stock_usd,operating_lease_liability_usd,finance_lease_liability_usd,lease_valuation_treatment,nonoperating_assets_usd,nonoperating_assets_method,market_enterprise_value_adjusted_usd,market_common_equity_reconstructed_usd,ev_equity_reconciliation_error_usd,wacc_pct,wacc_adjusted_pct
AR,ep,37.93999862670898,309836000.0,11755177414.505005,11755177414.505003,1.9073486328125e-06,2664797000.0,2664797000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,0.0,2664797000.0,2664797000.0,us-gaap:LongTermDebtNoncurrent,160169000.0,0.0,2083003000.0,2865000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,14580143414.505005,11755177414.505005,0.0,6.190596691205954,6.190596691205954
CNX,ep,36.36000061035156,141477594.0,5144125404.191071,5144125404.191071,0.0,2366853000.0,2366853000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,3748000.0,2363105000.0,2366853000.0,us-gaap:LongTermDebt,0.0,0.0,140924000.0,28822000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,7507230404.191071,5144125404.191071,0.0,6.586456160827697,6.586456160827697
COP,ep,134.8699951171875,1218294007.0,164311306775.3888,164311306775.3888,0.0,23327000000.0,22262000000.0,1065000000.0,TOTAL_DEBT_CONCEPT_NO_CURRENT_DOUBLE_COUNT,5877000000.0,16385000000.0,22797000000.0,us-gaap:LongTermDebt,0.0,0.0,0.0,0.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,180696306775.3888,164311306775.3888,0.0,6.370983034142343,6.393861867479845
DVN,ep,49.09999847412109,621400000.0,30510739051.818844,30510739051.818844,0.0,8386000000.0,8386000000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,1763000000.0,6623000000.0,8386000000.0,us-gaap:LongTermDebt,0.0,0.0,280000000.0,29000000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,37133739051.81885,30510739051.818848,3.814697265625e-06,6.350703001716201,6.350703001716201
EOG,ep,153.0500030517578,532628530.0,81518798141.95328,81518798141.95328,0.0,7931000000.0,7931000000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,3849000000.0,4082000000.0,7904000000.0,us-gaap:LongTermDebtNoncurrent,0.0,0.0,1102000000.0,117000000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,85600798141.95328,81518798141.95328,0.0,6.544723728886035,6.544723728886035
EQT,ep,53.720001220703125,625478000.0,33600678923.52295,33600678923.52295,0.0,5992411000.0,5992411000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,326568000.0,5665843000.0,5992411000.0,us-gaap:LongTermDebt,3668288000.0,0.0,78411000.0,37055000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,42934809923.52295,33600678923.52295,0.0,6.71496233922278,6.7149623392227795
FANG,ep,210.72000122070312,281313297.0,59278338287.24002,59278338287.24002,0.0,13898000000.0,13898000000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,174000000.0,13724000000.0,13149000000.0,us-gaap:LongTermDebt,6167000000.0,0.0,13000000.0,0.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,79169338287.24002,59278338287.24002,0.0,5.920453693081896,5.920453693081896
MGY,ep,28.13999938964844,184947909.0,5204434046.376756,5204434046.376756,0.0,393442000.0,393442000.0,0.0,CURRENT_PLUS_EXPLICIT_NONCURRENT_DEBT,124372000.0,269070000.0,393442000.0,us-gaap:LongTermDebt,0.0,0.0,27553000.0,0.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,5473504046.376756,5204434046.376756,0.0,6.78325439105391,6.78325439105391
MTDR,ep,58.380001068115234,124178227.0,7249525024.896656,7249525024.896656,0.0,3468941000.0,3468941000.0,0.0,TOTAL_DEBT_CONCEPT_NO_CURRENT_DOUBLE_COUNT,30451000.0,3438490000.0,3468941000.0,us-gaap:LongTermDebt,328185000.0,1000.0,144281000.0,2288000.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,11016201024.896656,7249525024.896656,0.0,6.245821698485839,6.245821698485839
NOG,ep,27.34000015258789,105791123.0,2892329318.9624443,2892329318.9624443,0.0,2551528000.0,2551528000.0,0.0,TOTAL_DEBT_CONCEPT_NO_CURRENT_DOUBLE_COUNT,37041000.0,2514487000.0,2551528000.0,us-gaap:LongTermDebt,0.0,0.0,0.0,0.0,DISCLOSED_NOT_ADDED_TO_EV_TO_AVOID_LEASE_EXPENSE_DOUBLE_COUNT,0.0,CASH_ONLY_NO_STANDARDIZED_CROSS_COMPANY_NONOPERATING_ASSET_TAG,5406816318.962444,2892329318.9624443,0.0,6.52484968517377,6.52484968517377
