ticker,subindustry,variable,test,target_enterprise_value_usd,solved_assumption,original_assumption,assumption_error,forward_roundtrip_error_pct,solver_status
AR,ep,growth,A_FORWARD_BASE_TO_REVERSE,18566094787.835796,17.349103868706152,17.34910386876914,-6.298961352513288e-11,-4.466826195944173e-11,SOLVED
AR,ep,growth,B_MARKET_REVERSE_TO_FORWARD,14580143414.505005,-9.545353026827797,17.34910386876914,,-3.8565215784759456e-11,SOLVED
AR,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,18566094787.835796,19.725177884742152,19.72517788473904,3.112177182629239e-12,1.5779772394135807e-11,SOLVED
AR,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,14580143414.505005,15.490383180876961,19.72517788473904,,-2.0381481069421718e-11,SOLVED
AR,ep,roic,A_FORWARD_BASE_TO_REVERSE,18566094787.835796,8.617950926834961,8.61795092682996,5.000444502911705e-12,3.5977059195484114e-11,SOLVED
AR,ep,roic,B_MARKET_REVERSE_TO_FORWARD,14580143414.505005,6.402173199901338,8.61795092682996,,-1.05962770643335e-12,SOLVED
BKR,services,growth,A_FORWARD_BASE_TO_REVERSE,37526774313.98764,2.6912104417569935,2.6912104418376295,-8.063594236773497e-11,-8.115950151728789e-11,SOLVED
BKR,services,growth,B_MARKET_REVERSE_TO_FORWARD,62668562722.357666,,2.6912104418376295,,-15.896985189045964,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
BKR,services,operating_margin,A_FORWARD_BASE_TO_REVERSE,37526774313.98764,10.402397701633163,10.40239770162312,1.0043521569969016e-11,9.654971761162328e-11,SOLVED
BKR,services,operating_margin,B_MARKET_REVERSE_TO_FORWARD,62668562722.357666,17.371685276564676,10.40239770162312,,2.8670234868309424e-11,SOLVED
BKR,services,roic,A_FORWARD_BASE_TO_REVERSE,37526774313.98764,9.85935012452828,9.859350124556926,-2.864553039216844e-11,-7.729669959136487e-11,SOLVED
BKR,services,roic,B_MARKET_REVERSE_TO_FORWARD,62668562722.357666,,9.859350124556926,,-26.804800620621467,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
CNX,ep,growth,A_FORWARD_BASE_TO_REVERSE,13194210568.809784,-10.897467145696282,-10.897467145250591,-4.4569148371920164e-10,6.042587575495582e-11,SOLVED
CNX,ep,growth,B_MARKET_REVERSE_TO_FORWARD,7507230404.191071,25.336865789315198,-10.897467145250591,,6.857301138762164e-11,SOLVED
CNX,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,13194210568.809784,37.87988180399407,37.879881803963315,3.0752289603697136e-11,8.119907753961408e-11,SOLVED
CNX,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,7507230404.191071,21.552862060430925,37.879881803963315,,-1.4177006429897326e-11,SOLVED
CNX,ep,roic,A_FORWARD_BASE_TO_REVERSE,13194210568.809784,5.201469322403138,5.201469322402524,6.146194664324867e-13,1.3299475046545301e-12,SOLVED
