ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
AR,ep,BEAR,growth,8.243207786750778,8.243207786750778,-15.0,20.0,False,False,False,NONE,False
AR,ep,BEAR,operating_margin,-1.5887948195660953,-1.5887948195660953,-20.0,50.0,False,False,False,NONE,False
AR,ep,BEAR,reinvestment_rate,231.08019466876945,150.0,-50.0,150.0,False,True,True,UPPER,False
AR,ep,BEAR,roic,-1.5904246094080305,2.0,2.0,35.0,True,False,True,LOWER,False
AR,ep,BEAR,wacc,7.690596691205954,7.690596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
AR,ep,BASE,growth,17.34910386876914,17.34910386876914,-15.0,20.0,False,False,False,NONE,False
AR,ep,BASE,operating_margin,19.72517788473904,19.72517788473904,-20.0,50.0,False,False,False,NONE,False
AR,ep,BASE,reinvestment_rate,112.26046674581463,112.26046674581463,-50.0,150.0,False,False,False,NONE,False
AR,ep,BASE,roic,8.61795092682996,8.61795092682996,3.0,35.0,False,False,False,NONE,False
AR,ep,BASE,wacc,6.190596691205954,6.190596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
AR,ep,BULL,growth,27.276548182745323,20.0,-15.0,20.0,False,True,True,UPPER,False
AR,ep,BULL,operating_margin,35.25360462322965,35.25360462322965,-20.0,50.0,False,False,False,NONE,False
AR,ep,BULL,reinvestment_rate,49.68444114254446,49.68444114254446,-50.0,150.0,False,False,False,NONE,False
AR,ep,BULL,roic,22.642903374365822,22.642903374365822,3.5,35.0,False,False,False,NONE,False
AR,ep,BULL,wacc,5.190596691205954,5.190596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
BKR,services,BEAR,growth,1.82533298880485,1.82533298880485,-15.0,20.0,False,False,False,NONE,False
BKR,services,BEAR,operating_margin,6.8526069464187955,6.8526069464187955,-10.0,30.0,False,False,False,NONE,False
BKR,services,BEAR,reinvestment_rate,26.695809908608137,26.695809908608137,-50.0,150.0,False,False,False,NONE,False
BKR,services,BEAR,roic,5.2917161878160766,5.2917161878160766,2.0,35.0,False,False,False,NONE,False
BKR,services,BEAR,wacc,8.161159741478016,8.161159741478016,3.0,20.0,False,False,False,NONE,False
