experiment,median_value_gap_pct,median_gap_reduction_vs_original_pct_points,median_fair_value_change_vs_original_pct,outlier_tickers_abs_gap_over_75pct,median_terminal_value_share_pct
COMBINED_LONG_RUN_NORMALIZATION,-32.77506550080356,123.44213748780788,-54.514341448800565,3,79.25296251134495
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,61.207910267498605,29.45916171950573,-15.572171143374785,6,82.77741134224817
MARGIN_PREMIUM_PROXY_1Y_FADE,7.72174090806006,82.94533107894428,-21.876511355127555,8,87.03775658118181
MARGIN_PREMIUM_PROXY_2Y_FADE,7.809338208988992,82.85773377801534,-21.829057063283017,7,86.13174100342043
MARGIN_PREMIUM_PROXY_4Y_FADE,8.275963382251138,82.3911086047532,-21.582826714176697,7,85.47800798092955
NO_NEAR_TERM_REVENUE_ANCHOR,90.66707198700433,0.0,0.0,8,86.77884286452087
ORIGINAL_V1_1,90.66707198700433,0.0,0.0,8,87.6409456235174
TERMINAL_G_MINUS_100BP,56.15874494503515,34.50832704196918,-17.439943846913117,6,84.66892300911493
TERMINAL_PRE_RECENT_WINDOW_MARGIN,11.489887975860812,79.17718401114352,-19.8916654225941,7,84.37910987841278
TERMINAL_ROIC_FADE_TO_WACC_PLUS_200BP,58.54341515887013,32.1236568281342,-17.230200435436963,6,84.86691975273347
WACC_PLUS_100BP,42.81369220075068,47.853379786253655,-24.41676593161455,6,84.51037167588922
WACC_PLUS_200BP,15.708005135851977,74.95906685115236,-39.92729278901801,3,81.5402142273693
WACC_PLUS_300BP,-1.5770425343097139,92.24411452131405,-50.70527946856417,1,78.65457110981647
