as_of_date,ticker,quarter,provider,consensus_revenue,consensus_revenue_low,consensus_revenue_high,analyst_count,source_path,source_sha256,ingested_at
2026-07-31,AR,2029Q4,FMP,1742261317.0,1639916290.0,1858116322.0,4.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2029Q3,FMP,1728551758.0,1627012067.0,1843495120.0,4.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2029Q2,FMP,1714950077.0,1614209385.0,1828988969.0,4.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2029Q1,FMP,1701455426.0,1601507445.0,1814596965.0,4.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2028Q4,FMP,1834764582.0,1726985669.0,1956770769.0,2.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2028Q3,FMP,1745131914.0,1642618261.0,1861177805.0,2.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2028Q2,FMP,1669956287.0,1571858648.0,1781003231.0,2.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2028Q1,FMP,1793475157.0,1688121694.0,1912735725.0,2.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2027Q4,FMP,1746415297.0,1643826254.0,1862546529.0,3.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2027Q3,FMP,1637019498.0,1540856653.0,1745876247.0,3.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2027Q2,FMP,1561027494.0,1469328620.0,1664831009.0,3.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2027Q1,FMP,1697350534.0,1597643685.0,1810219111.0,3.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
2026-07-31,AR,2026Q4,FMP,1686639494.0,1560255794.0,1863035954.0,6.0,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\fmp\analyst-estimates\period=quarter\snapshot_date=2026-07-31\ticker=AR.json,97bc88f9b1d5a77b00d784ac0c77076cc1296cfc8f8d732ac7496ba4c97c7fc1,2026-09-02T00:07:28+00:00
