as_of_date,ticker,quarter,model_version,subindustry,financial_available_at,nopat_usd,depreciation_amortization_usd,depreciation_amortization_method,delta_operating_nwc_usd,operating_nwc_method,other_cash_conversion_usd,combined_cash_conversion_adjustment_usd,cash_capex_usd,reported_fcff_usd,reconstructed_fcff_usd,combined_reconstructed_fcff_usd,detailed_identity_error_usd,combined_identity_error_usd,capex_imputed,capex_method,capex_monitor_status,attribution_status,diagnostic_only,created_at
2026-09-02,AR,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-29,576449421.7069975,206239000.0,DIRECT_Q1_CASH_FLOW,-133721000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-28141412.03596258,311818587.9640374,12259000.0,876009009.6710349,876009009.6710349,876009009.6710349,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,BKR,2026Q1,ENERGY_VALUATION_V1_1,services,2026-04-24,1001318681.3186814,354000000.0,DIRECT_Q1_CASH_FLOW,-758000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-1550000000.0,-438000000.0,336000000.0,227318681.31868136,227318681.31868124,227318681.31868136,-1.1920928955078125e-07,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,CNX,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-30,381035292.83038247,134613000.0,DIRECT_Q1_CASH_FLOW,161994000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-43253000.0,-70634000.0,169906000.0,140495292.83038247,140495292.83038247,140495292.83038247,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,COP,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-30,2314650000.0,2906000000.0,DIRECT_Q1_CASH_FLOW,748000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-48950000.0,2109050000.0,316202910.53054816,4107497089.469452,4107497089.469452,4107497089.469452,0.0,0.0,1,PRIOR_ONLY_MEDIAN_12Q_CAPEX_TO_REVENUE,IMPUTED_CAPEX_REQUIRES_ATTRIBUTION_REVIEW,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,CVX,2026Q1,ENERGY_VALUATION_V1_1,integrated,2026-05-07,2789150000.0,5808000000.0,DIRECT_Q1_CASH_FLOW,-5302000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-11160900000.0,-50900000.0,3969000000.0,-1230750000.0,-1230750000.0,-1230750000.0,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,DVN,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-06,205301204.8192771,904000000.0,DIRECT_Q1_CASH_FLOW,-270000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,361000000.0,1535000000.0,839000000.0,901301204.819277,901301204.819277,901301204.819277,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,EOG,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-05,2013322896.2818003,1193000000.0,DIRECT_Q1_CASH_FLOW,321000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,131823874.75538158,1003823874.7553816,1644000000.0,1373146771.0371819,1373146771.0371819,1373146771.0371819,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,EPD,2026Q1,ENERGY_VALUATION_V1_1,midstream,2026-05-07,1867536231.884058,,UNAVAILABLE_STANDARDIZED_D_AND_A_FACT,-208000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,,-19115942.0289855,983000000.0,865420289.8550725,,865420289.8550725,,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,PARTIAL_COMBINED_CASH_CONVERSION_ONLY,1,2026-09-02T00:07:34+00:00
2026-09-02,EQT,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-22,1591993145.8142326,654792000.0,DIRECT_Q1_CASH_FLOW,-434703000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,449232404.0946381,1538727404.094638,598505000.0,2532215549.9088707,2532215549.9088707,2532215549.9088707,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,ET,2026Q1,ENERGY_VALUATION_V1_1,midstream,2026-05-07,2792234959.734723,1583000000.0,DIRECT_Q1_CASH_FLOW,257000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,146203694.93131208,1472203694.931312,1916000000.0,2348438654.666035,2348438654.666035,2348438654.666035,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,FANG,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-06,94909090.9090909,1293000000.0,DIRECT_Q1_CASH_FLOW,489000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,980636363.6363635,1784636363.6363635,314000000.0,1565545454.5454545,1565545454.5454545,1565545454.5454545,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,HAL,2026Q1,ENERGY_VALUATION_V1_1,services,2026-04-24,553701230.228471,295000000.0,DIRECT_Q1_CASH_FLOW,481000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-27833040.421792626,-213833040.42179263,192000000.0,147868189.8066784,147868189.8066784,147868189.8066784,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,KMI,2026Q1,ENERGY_VALUATION_V1_1,midstream,2026-04-24,1122239130.4347825,633000000.0,DIRECT_Q1_CASH_FLOW,44000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,113945652.17391324,702945652.1739132,804000000.0,1021184782.6086957,1021184782.6086957,1021184782.6086957,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,MGY,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-07,105839527.98133482,113359000.0,DIRECT_Q1_CASH_FLOW,17141000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,532177.6477933675,96750177.64779337,128427000.0,74162705.62912819,74162705.62912816,74162705.62912819,-2.9802322387695312e-08,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,MPC,2026Q1,ENERGY_VALUATION_V1_1,refining,2026-05-05,1155516441.0058026,809000000.0,DIRECT_Q1_CASH_FLOW,454000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-85000000.0,270000000.0,913000000.0,512516441.00580263,512516441.00580263,512516441.00580263,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,MTDR,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-08,36988590.0,292704000.0,DIRECT_Q1_CASH_FLOW,-194435000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-12876840.0,474262160.0,2132000.0,509118750.0,509118750.0,509118750.0,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,NOG,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-29,-517357570.0,,UNAVAILABLE_STANDARDIZED_D_AND_A_FACT,-495960000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,,874615510.0,55000.0,357202940.0,,357202940.0,,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,PARTIAL_COMBINED_CASH_CONVERSION_ONLY,1,2026-09-02T00:07:34+00:00
2026-09-02,OVV,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-11,-595660000.0,561000000.0,DIRECT_Q1_CASH_FLOW,-60000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,1112820000.0,1733820000.0,605000000.0,533160000.0,533160000.0,533160000.0,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,PR,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-07,368602763.4627426,,UNAVAILABLE_STANDARDIZED_D_AND_A_FACT,-275011000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,,499344336.72510964,206817000.0,661130100.1878523,,661130100.1878523,,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,PARTIAL_COMBINED_CASH_CONVERSION_ONLY,1,2026-09-02T00:07:34+00:00
2026-09-02,PSX,2026Q1,ENERGY_VALUATION_V1_1,refining,2026-04-29,459900000.0,558000000.0,DIRECT_Q1_CASH_FLOW,2636000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-405000000.0,-2483000000.0,428602041.2435078,-2451702041.243508,-2451702041.243508,-2451702041.243508,0.0,0.0,1,PRIOR_ONLY_REFINING_PEER_MEDIAN_24_OBS_CAPEX_TO_REVENUE,IMPUTED_CAPEX_REQUIRES_ATTRIBUTION_REVIEW,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,RRC,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-04-21,356945582.3585226,88526000.0,DIRECT_Q1_CASH_FLOW,-86258000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,102721999.99999994,277505999.99999994,158310000.0,476141582.35852253,476141582.35852253,476141582.35852253,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,SLB,2026Q1,ENERGY_VALUATION_V1_1,services,2026-04-29,853338912.1338911,685000000.0,DIRECT_Q1_CASH_FLOW,347000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-611999999.9999999,-273999999.9999999,343000000.0,236338912.13389122,236338912.13389122,236338912.13389122,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,SM,2026Q1,ENERGY_VALUATION_V1_1,ep,2026-05-07,-235420000.0,,UNAVAILABLE_STANDARDIZED_D_AND_A_FACT,-2332000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,,964690000.0,11992524.12735247,717277475.8726475,,717277475.8726475,,0.0,1,PRIOR_ONLY_MEDIAN_5Q_CAPEX_TO_REVENUE,IMPUTED_CAPEX_REQUIRES_ATTRIBUTION_REVIEW,PARTIAL_COMBINED_CASH_CONVERSION_ONLY,1,2026-09-02T00:07:34+00:00
2026-09-02,VLO,2026Q1,ENERGY_VALUATION_V1_1,refining,2026-04-30,1328138131.16657,,UNAVAILABLE_STANDARDIZED_D_AND_A_FACT,104000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,,169279164.24840403,440933687.9788551,1056483607.4361188,,1056483607.4361188,,0.0,1,PRIOR_ONLY_MEDIAN_5Q_CAPEX_TO_REVENUE,IMPUTED_CAPEX_REQUIRES_ATTRIBUTION_REVIEW,PARTIAL_COMBINED_CASH_CONVERSION_ONLY,1,2026-09-02T00:07:34+00:00
2026-09-02,WMB,2026Q1,ENERGY_VALUATION_V1_1,midstream,2026-05-04,1042173010.3806229,584000000.0,DIRECT_Q1_CASH_FLOW,192000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,465463667.8200693,857463667.8200693,1359000000.0,540636678.2006922,540636678.2006922,540636678.2006922,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
2026-09-02,XOM,2026Q1,ENERGY_VALUATION_V1_1,integrated,2026-05-04,4720300000.0,6771000000.0,DIRECT_Q1_CASH_FLOW,-162000000.0,DELTA_CURRENT_ASSETS_MINUS_CASH_MINUS_CURRENT_LIABILITIES_PLUS_CURRENT_DEBT,-2756550000.0,4176450000.0,6470000000.0,2426750000.0,2426750000.0,2426750000.0,0.0,0.0,0,DIRECT_Q1_CASH_FLOW,DIRECT_CASH_CAPEX_DISCLOSURE,COMPLETE_D_AND_A_NWC_OTHER_SEPARATED,1,2026-09-02T00:07:34+00:00
