as_of_date,ticker,target_quarter,model_version,subindustry,fair_value,market_price,market_data_date,market_price_source,value_gap_pct,base_year1_revenue_usd,base_year1_nopat_usd,base_year1_reinvestment_usd,base_year1_fcff_usd,base_terminal_value_share_pct,terminal_dependence_status,expectations_monitor_status,benchmark_manifest_sha256,valuation_artifact_sha256,production_eligible,created_at
2026-09-02,AR,2027Q1,ENERGY_VALUATION_V1_1,ep,75.16570258422018,37.93999862670898,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,98.1173044410842,6598990731.099745,1028638879.3114347,2070789554.51802,-1042150675.2065848,103.07223878096733,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,BKR,2027Q1,ENERGY_VALUATION_V1_1,services,39.90376197983507,62.34000015258789,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,-35.99011568469083,28643659328.541767,2193791572.4917583,598817844.2309384,1594973728.26082,80.77438909401172,HIGH_TERMINAL_DEPENDENCE,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,CNX,2027Q1,ENERGY_VALUATION_V1_1,ep,87.20423094712775,36.36000061035156,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,139.8356146405042,2622643952.046694,807339268.1076747,-1691436131.59105,2498775399.6987247,54.11572409215285,NORMAL,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,COP,2027Q1,ENERGY_VALUATION_V1_1,ep,224.82311442459516,134.8699951171875,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,66.69616858015608,55162886985.49829,11557279648.240284,5819176853.437298,5738102794.802986,84.98487882588137,HIGH_TERMINAL_DEPENDENCE,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,CVX,2027Q1,ENERGY_VALUATION_V1_1,integrated,184.3058500223161,205.2700042724609,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,-10.212965271983176,198222099016.73483,17916531972.619457,6330484611.272791,11586047361.346666,81.25389149428163,HIGH_TERMINAL_DEPENDENCE,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,DVN,2027Q1,ENERGY_VALUATION_V1_1,ep,124.13390484186972,49.09999847412109,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,152.8185513229627,17572412508.35445,3586616713.169994,1163710180.8080783,2422906532.361916,83.15742397377961,HIGH_TERMINAL_DEPENDENCE,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,EOG,2027Q1,ENERGY_VALUATION_V1_1,ep,261.52746503261505,153.0500030517578,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,70.87713807112618,24863387651.624504,6315576415.765447,1258334690.6035562,5057241725.16189,81.5125641210627,HIGH_TERMINAL_DEPENDENCE,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,EPD,2027Q1,ENERGY_VALUATION_V1_1,midstream,69.45458135972166,38.0099983215332,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,82.72713608717697,54377969225.2048,8250785675.580182,4360666132.496217,3890119543.083965,85.45775940101234,HIGH_TERMINAL_DEPENDENCE,COMPANY_OUTLIER_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,EQT,2027Q1,ENERGY_VALUATION_V1_1,ep,29.579387384805145,53.720001220703125,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,-44.93785049765494,9035801108.475248,1316199808.063419,-2652153887.6868105,3968353695.75023,55.35757709196106,NORMAL,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,ET,2027Q1,ENERGY_VALUATION_V1_1,midstream,30.215286853545063,21.19,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,42.592198459391504,98850810507.8981,12081354692.894417,10476859237.14279,1604495455.751625,86.61935074774748,HIGH_TERMINAL_DEPENDENCE,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,FANG,2027Q1,ENERGY_VALUATION_V1_1,ep,549.8987196038124,210.72000122070312,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,160.961805437663,17730993709.826157,6784468158.878472,7347528350.074572,-563060191.1960993,91.83068839506852,HIGH_TERMINAL_DEPENDENCE,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,HAL,2027Q1,ENERGY_VALUATION_V1_1,services,52.12241636267776,35.34000015258789,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,47.48844407931028,22972794066.345203,2490534924.098018,635176970.9536959,1855357953.1443229,80.1528301731122,HIGH_TERMINAL_DEPENDENCE,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,KMI,2027Q1,ENERGY_VALUATION_V1_1,midstream,11.678362468281367,30.979999542236328,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,-62.303542153511756,18385028654.492348,3546013820.507942,2898747015.513257,647266804.9946847,88.13312175856227,HIGH_TERMINAL_DEPENDENCE,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,MGY,2027Q1,ENERGY_VALUATION_V1_1,ep,51.5572175262981,28.13999938964844,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,83.21683953292445,1314173831.8450658,449587596.61171824,-7843119.943753982,457430716.5554722,78.4199972191241,TERMINAL_DEPENDENCE_WARNING,E&P_SYSTEMATIC_SKEW_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
2026-09-02,MPC,2027Q1,ENERGY_VALUATION_V1_1,refining,485.7623338965054,360.7200012207031,2026-08-21,FROZEN_V1_1_WEIGHTED_ARTIFACT,34.664651877536535,136497133266.18633,6806417016.505835,411932154.83104897,6394484861.674786,79.9754175729791,TERMINAL_DEPENDENCE_WARNING,STANDARD_MONITOR,671b5b5af4d8ac3de7c7098cb6238eab687124724f41146fad57625b8d092601,d8a3847703f990a7a0d4a1ea9d05bc7d6c7e6ad4771e1e393bbf21c9b484f10a,0,2026-09-02T00:07:34+00:00
