ticker,reserve_quantity_years,reserve_chain_status,production_mix_status,strict_realized_gas_price_quarters,unit_economics_status
AR,8,STANDARDIZED_RESERVE_CHAIN_KPI_SCALE_VERIFIED,PRICE_VOLUME_PROXY_READY,5,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK
CNX,7,STANDARDIZED_RESERVE_CHAIN_KPI_SCALE_VERIFIED,PRICE_VOLUME_PROXY_READY,24,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK
COP,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
DVN,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
EOG,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
EQT,2,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,43,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
FANG,3,STANDARDIZED_RESERVE_CHAIN_KPI_SCALE_VERIFIED,PRICE_VOLUME_PROXY_READY,0,CORE_STANDARDIZED_RESERVE_REPLACEMENT_CROSS_CHECK
MGY,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
MTDR,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
NOG,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
OVV,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,LOCKED_NO_AUDITED_PRODUCTION_KPI,0,LOCKED_NO_AUDITED_PRODUCTION_INPUT
PR,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
RRC,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,8,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
SM,0,LOCKED_INSUFFICIENT_STANDARDIZED_RESERVE_CHAIN,PRICE_VOLUME_PROXY_READY,0,PARTIAL_PRICE_VOLUME_ONLY_RESERVE_REPLACEMENT_LOCKED
