ticker,production_mix_status,mix_method,mix_start_quarter,mix_end_quarter,mix_quarters,oil_mix_pct,ngl_mix_pct,gas_boe_mix_pct,strict_realized_gas_price_quarters,realized_basis_status,normalized_gross_price_q25_per_boe,normalized_gross_price_q50_per_boe,normalized_gross_price_q75_per_boe
AR,PRICE_VOLUME_PROXY_READY,AUDITED_COMPONENT_MIX,2025Q3,2026Q2,4.0,1.2992104791677213,32.25795566567766,66.44283385515463,5,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,16.553262340541586,21.7107627045926,24.891610845074755
CNX,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,4.3453199130936015,2.5717199485656006,93.0829601383408,24,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,15.355725040812608,19.02944364386113,21.396244358913176
COP,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q2,2026Q2,4.0,45.0,15.0,40.0,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,30.53092821572217,38.06586623376623,47.11145899164647
DVN,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q2,2026Q2,4.0,42.89758106021616,15.573386983577409,41.52903195620643,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,29.838883873752124,37.24456841287192,45.996983324652874
EOG,PRICE_VOLUME_PROXY_READY,AUDITED_COMPONENT_MIX,2025Q3,2026Q2,4.0,39.63637687225872,24.210602944655765,36.15302018308553,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,29.356171758717153,37.01004574337159,45.640320405339935
EQT,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,8.0,17.0,75.0,43,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,17.73486808049296,22.526549805194804,26.0652131118187
FANG,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,52.760014324448754,25.0962423901366,22.143743285414644,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,34.016463170101304,42.73572032840509,53.387741275914834
MGY,PRICE_VOLUME_PROXY_READY,AUDITED_COMPONENT_MIX,2025Q3,2026Q2,4.0,39.405909338284296,29.114038819131423,31.480051842584277,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,29.64940102556117,37.56942949141835,46.37538135358332
MTDR,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,57.75753235729789,0.0,42.24246764270212,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,33.85182700312898,41.50390387038597,51.83390282790137
NOG,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,51.12352007441948,0.0,48.876479925580526,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,31.530181092109615,38.66963197143085,47.996856353285615
OVV,LOCKED_NO_AUDITED_PRODUCTION_KPI,,,,,,,,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,,,
PR,PRICE_VOLUME_PROXY_READY,AUDITED_COMPONENT_MIX,2025Q3,2026Q2,4.0,47.45225688886538,25.014807651948985,27.532935459185637,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,32.1527454513687,40.457143530752354,50.30336589387971
RRC,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2025Q3,2026Q2,4.0,8.0,17.0,75.0,8,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,17.73486808049296,22.526549805194804,26.0652131118187
SM,PRICE_VOLUME_PROXY_READY,AUDITED_PARTIAL_MIX_COMPLETED_WITH_GROUP_PRIOR,2024Q2,2026Q2,4.0,9.293493612880951,90.70650638711905,0.0,0,DEFERRED_NO_COMMON_CROSS_COMMODITY_BASIS,23.8076156075927,32.967671932913134,39.86621663771072
