ticker,concept,standardized_tag_years_2021_2025,latest_standardized_year,selected_source_tags_2021_2025,selected_scopes_2021_2025
AR,g_and_a_usd,5,2025.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
AR,hedge_gain_loss_usd,5,2025.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD
AR,production_tax_usd,0,,,
AR,transport_cost_usd,0,,,
AR,upstream_revenue_usd,5,2025.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT
CNX,g_and_a_usd,5,2025.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT
CNX,hedge_gain_loss_usd,5,2025.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT
CNX,production_tax_usd,5,2025.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT
CNX,transport_cost_usd,5,2025.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT
CNX,upstream_revenue_usd,5,2025.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT
COP,g_and_a_usd,5,2025.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
COP,hedge_gain_loss_usd,0,,,
COP,production_tax_usd,0,,,
COP,transport_cost_usd,0,,,
COP,upstream_revenue_usd,0,,,
DVN,g_and_a_usd,5,2025.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
DVN,hedge_gain_loss_usd,5,2025.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT
DVN,production_tax_usd,2,2025.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT
DVN,transport_cost_usd,0,,,
DVN,upstream_revenue_usd,5,2025.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT
EOG,g_and_a_usd,5,2025.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
EOG,hedge_gain_loss_usd,4,2025.0,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,DERIVATIVE_BROAD
EOG,production_tax_usd,0,,,
EOG,transport_cost_usd,3,2023.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT
EOG,upstream_revenue_usd,1,2021.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT
EQT,g_and_a_usd,5,2025.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
EQT,hedge_gain_loss_usd,5,2025.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD
EQT,production_tax_usd,0,,,
EQT,transport_cost_usd,0,,,
EQT,upstream_revenue_usd,0,2017.0,,
FANG,g_and_a_usd,5,2025.0,us-gaap:SellingGeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED
FANG,hedge_gain_loss_usd,5,2025.0,us-gaap:DerivativeGainLossOnDerivativeNet,DERIVATIVE_BROAD
FANG,production_tax_usd,5,2025.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT
FANG,transport_cost_usd,0,2019.0,,
FANG,upstream_revenue_usd,5,2025.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT
