ticker,v14_cost_scope_status,v14_hedge_inclusion_diagnostic,comparable_years_2021_2025,green_years,yellow_years,red_years,red_year_share,median_absolute_raw_margin_gap_pct_points,median_upstream_to_consolidated_revenue_ratio,numeric_reconciliation_pass,accounting_perimeter_reconciliation_gate,gate_thresholds,terminal_anchor_ready,research_only
AR,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,5,3,0,2,0.4,2.4847893683118087,0.9538822715917202,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
CNX,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,4,3,0,1,0.25,2.831826292661095,0.9244292450973087,True,LOCKED_NUMERIC_PASS_HEDGE_PRESENTATION_NOT_PROVEN,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
COP,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
DVN,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
EOG,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
EQT,LOCKED_NO_V13_CORE_RESERVE_REPLACEMENT_CHAIN,nan,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
FANG,UPPER_BOUND_MISSING_TRANSPORT,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,3,2,0,1,0.3333333333333333,3.5412703593379433,0.9127055846737755,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
MGY,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
MTDR,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
NOG,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
OVV,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
PR,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
RRC,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
SM,LOCKED_NO_V14_CROSS_CHECK,LOCKED_NO_V14_HEDGE_DIAGNOSTIC,0,0,0,0,,,,False,LOCKED_INCOMPLETE_STANDARDIZED_COST_SCOPE,PROVISIONAL_GREEN_LE_5PPT_YELLOW_LE_10PPT_RED_GT_10PPT,False,True
