ticker,year,lifting_cost_per_boe,upstream_dda_per_boe,kpi_production_mboe,kpi_quarters,kpi_min_quality,kpi_last_filing_date,g_and_a_usd,g_and_a_usd_source_tag,g_and_a_usd_scope,hedge_gain_loss_usd,hedge_gain_loss_usd_source_tag,hedge_gain_loss_usd_scope,upstream_revenue_usd,upstream_revenue_usd_source_tag,upstream_revenue_usd_scope,transport_cost_usd,transport_cost_usd_source_tag,transport_cost_usd_scope,production_tax_usd,production_tax_usd_source_tag,production_tax_usd_scope,transport_cost_per_boe,production_tax_per_boe,g_and_a_per_boe,hedge_gain_loss_per_boe,upstream_revenue_per_boe,financial_quarters,revenue_observations,ebit_observations,consolidated_revenue_usd,consolidated_ebit_usd,revenue_source_tags,ebit_methods,consolidated_financial_status,consolidated_operating_margin_pct,known_cost_per_boe,missing_cost_components,annual_cost_scope_status,v14_company_cost_scope_status,v14_hedge_inclusion_diagnostic,perimeter_comparable,unit_reconstructed_operating_margin_pct,unit_reconstructed_ebit_usd,raw_margin_gap_pct_points,absolute_raw_margin_gap_pct_points,annual_perimeter_grade,upstream_to_consolidated_revenue_ratio,reported_hedge_margin_effect_pct_points,gap_if_reported_hedge_added_to_unit_pct_points,minimum_abs_gap_hedge_presentation_diagnostic_pct_points,best_fit_hedge_presentation_diagnostic,hedge_accounting_adjustment_applied,research_only,terminal_anchor_ready
AR,2021,14.039582914572865,3.698492462311558,198960.0,4,0.95,2022-02-16,145006000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-1936509000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,5790759000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.7288198632891033,-9.733157418576598,29.105141737032568,4,4,4,6509680000.0,23860000.0,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,DIRECT_GAAP_OPERATING_INCOME,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,0.366531073724054,18.46689524017353,transport_cost_per_boe;production_tax_per_boe,KNOWN_COST_UPPER_BOUND_MISSING_TRANSPORT_COST_AND_PRODUCTION_TAX,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,True,36.5510898142208,2116585523.0150745,36.18455874049675,36.18455874049675,RED_ABSOLUTE_GAP_GT_10PPT,0.889561238033206,-33.4413675305776,2.7431912099191464,2.7431912099191464,HEDGE_OUTSIDE_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
AR,2022,15.34554358974359,3.784615384615385,194934.3333333333,4,0.95,2023-02-15,172909000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-1615836000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,8294749000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.887011523538696,-8.289129843725151,42.55150366875683,4,4,4,8711507000.0,2573905000.0,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,DIRECT_GAAP_OPERATING_INCOME,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,29.54603606471303,20.01717049789767,transport_cost_per_boe;production_tax_per_boe,KNOWN_COST_UPPER_BOUND_MISSING_TRANSPORT_COST_AND_PRODUCTION_TAX,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,True,52.95778345761457,4392715213.77265,23.41174739290154,23.41174739290154,RED_ABSOLUTE_GAP_GT_10PPT,0.9521600568076224,-19.48022779230571,3.9315196005958306,3.9315196005958306,HEDGE_OUTSIDE_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
AR,2023,14.150180936995154,3.305331179321487,206384.66666666663,4,0.95,2024-02-14,224516000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,166324000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,4276445000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.0878521337179443,0.8058932026604044,20.720749603491218,4,4,4,4483200000.0,453130000.0,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,DIRECT_GAAP_OPERATING_INCOME,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,10.107289436117059,18.543364250034585,transport_cost_per_boe;production_tax_per_boe,KNOWN_COST_UPPER_BOUND_MISSING_TRANSPORT_COST_AND_PRODUCTION_TAX,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,True,10.508236406127732,449378950.3780291,0.4009469700106738,0.4009469700106738,GREEN_ABSOLUTE_GAP_LE_5PPT,0.9538822715917202,3.889305252376682,4.290252222387355,0.4009469700106738,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
AR,2024,14.51738338658147,3.6134185303514377,208665.0,4,0.95,2025-02-12,229338000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,731000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,4115299000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.0990726762993317,0.0035032228691922,19.7220377159562,4,4,4,4295466000.0,460000.0,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,DIRECT_GAAP_OPERATING_INCOME,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,0.010708966151751638,19.22987459323224,transport_cost_per_boe;production_tax_per_boe,KNOWN_COST_UPPER_BOUND_MISSING_TRANSPORT_COST_AND_PRODUCTION_TAX,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,True,2.4954983344635604,102697218.00319558,2.4847893683118087,2.4847893683118087,GREEN_ABSOLUTE_GAP_LE_5PPT,0.9580564716377687,0.01776298635894962,2.502552354670758,2.4847893683118087,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
AR,2025,15.074928343949043,3.5445859872611467,209390.0,4,0.95,2026-02-11,232526000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,111049000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,5010239000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.110492382635274,0.5303452886957353,23.92778547208558,4,4,4,5137234000.0,883646000.0,us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,DIRECT_GAAP_OPERATING_INCOME,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,17.20081273307776,19.730006713845466,transport_cost_per_boe;production_tax_per_boe,KNOWN_COST_UPPER_BOUND_MISSING_TRANSPORT_COST_AND_PRODUCTION_TAX,UPPER_BOUND_MISSING_TRANSPORT_AND_PRODUCTION_TAX,NO_MECHANICAL_NETTING_REVENUE_INCLUSION_NOT_PROVEN,True,17.54353223844008,878972894.1878978,0.342719505362318,0.342719505362318,GREEN_ABSOLUTE_GAP_LE_5PPT,0.9752794986562808,2.216441171768453,2.559160677130771,0.342719505362318,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
CNX,2021,0.4702023556200106,5.236287119990242,98374.96666666666,4,0.8500000000000001,2022-01-27,112757000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-1632733000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,650909000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,343635000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,34051000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.4931142712797194,0.3461348059753684,1.1461960681731702,-16.597037389932197,6.616612153024025,4,4,4,756792000.0,-485357000.0,us-gaap:Revenues,DERIVED_NET_INCOME_PLUS_TAX_PLUS_INTEREST,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,-64.1334739267857,10.691934621038511,,COMPLETE_STANDARDIZED_COST_SCOPE,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,True,-61.59228278405165,-400909711.94684273,2.54119114273405,2.54119114273405,GREEN_ABSOLUTE_GAP_LE_5PPT,0.8600896943942326,-250.83890374845024,-248.29771260571619,2.54119114273405,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
CNX,2022,0.6893646506448984,4.769799834186246,96694.45,4,0.8500000000000001,2023-01-26,121697000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-2663775000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1173889000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,369660000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,44965000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.82297019115368,0.4650215188151956,1.2585727515901892,-27.5483753204036,12.140190052272905,4,4,4,1261211000.0,-84258000.0,us-gaap:Revenues,DERIVED_NET_INCOME_PLUS_TAX_PLUS_INTEREST,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,-6.680721941055065,11.00572894639021,,COMPLETE_STANDARDIZED_COST_SCOPE,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,True,9.344673361767503,109696092.67971891,16.025395302822567,16.025395302822567,RED_ABSOLUTE_GAP_GT_10PPT,0.9307633694917028,-226.91881430015962,-210.89341899733705,16.025395302822567,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
CNX,2023,0.6781246542438335,4.642530060710322,93393.16666666669,4,0.8500000000000001,2024-01-25,125344000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,1928652000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,3305088000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,381934000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,27946000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,4.089528320237561,0.2992296010236295,1.3421110395300155,20.650889875954523,35.388970285120784,4,4,4,3434948000.0,2366203000.0,us-gaap:Revenues,DERIVED_NET_INCOME_PLUS_TAX_PLUS_INTEREST,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,68.88613743206594,11.051523675745363,,COMPLETE_STANDARDIZED_COST_SCOPE,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,True,68.7712765115634,2272951207.4305005,-0.1148609205025366,0.1148609205025366,GREEN_ABSOLUTE_GAP_LE_5PPT,0.9621944786354845,58.35402869757175,58.23916777706921,0.1148609205025366,HEDGE_IN_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
CNX,2024,0.7695447101925514,5.291303416398276,91801.11666666668,4,0.8500000000000001,2025-01-30,145736000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,-172405000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,1073139000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,382220000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,27554000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,4.163565911598388,0.3001488543984668,1.5875188155844873,-1.878027264374235,11.689825123768465,4,4,3,1266786000.0,187635000.0,us-gaap:Revenues,DERIVED_NET_INCOME_PLUS_TAX_PLUS_INTEREST,LOCKED_INCOMPLETE_CONSOLIDATED_FINANCIAL_YEAR,,12.11208170817217,,COMPLETE_STANDARDIZED_COST_SCOPE,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,False,,,,,LOCKED_NOT_COMPARABLE,,,,,LOCKED_NOT_COMPARABLE,False,True,False
CNX,2025,0.9293055202238616,5.476793436784534,104826.0,4,0.8500000000000001,2026-01-29,140302000.0,us-gaap:ResultsOfOperationsGeneralAndAdministrativeRelatedToOilAndGasProducingActivities,UPSTREAM_EXACT,96661000.0,us-gaap:GainLossOnOilAndGasHedgingActivity,OIL_GAS_HEDGE_EXACT,2055738000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,383104000.0,us-gaap:ResultsOfOperationsTransportationCosts,UPSTREAM_EXACT,31200000.0,us-gaap:ProductionTaxExpense,PRODUCTION_TAX_EXACT,3.65466582718028,0.2976360826512506,1.338427489363326,0.922109018754889,19.610955297349893,4,4,4,2239134000.0,973533000.0,us-gaap:Revenues,DERIVED_NET_INCOME_PLUS_TAX_PLUS_INTEREST,FOUR_QUARTER_CONSOLIDATED_REVENUE_AND_EBIT,43.47810358826224,11.696828356203252,,COMPLETE_STANDARDIZED_COST_SCOPE,COMPLETE_STANDARDIZED_COST_SCOPE_CROSS_CHECK,STRONG_EXACT_HEDGE_ASSOCIATION_REVENUE_INCLUSION_NOT_PROVEN,True,40.3556421456741,829606270.7326378,-3.12246144258814,3.12246144258814,GREEN_ABSOLUTE_GAP_LE_5PPT,0.9180951207029147,4.702009691896536,1.579548249308396,1.579548249308396,HEDGE_OUTSIDE_UPSTREAM_REVENUE_FITS_BETTER_NOT_PROVEN,False,True,False
