ticker,year,kpi_production_mboe,quantity_scale_power10,production_calibration_ratio,production_source_tag,production_source_unit,end_reserves_mboe,end_reserves_source_tag,end_reserves_source_unit,production_mboe,extensions_discoveries_mboe,extensions_discoveries_source_tag,extensions_discoveries_source_unit,revisions_mboe,revisions_source_tag,revisions_source_unit,improved_recovery_mboe,improved_recovery_source_tag,improved_recovery_source_unit,purchases_mboe,purchases_source_tag,purchases_source_unit,sales_mboe,sales_source_tag,sales_source_unit,missing_optional_events_assumed_zero_for_identity,quantity_route_status,begin_reserves_source_year,begin_reserves_mboe,improved_recovery_identity_mboe,purchases_identity_mboe,sales_identity_mboe,stock_flow_net_organic_additions_mboe,identified_organic_additions_mboe,gross_positive_additions_mboe,total_gross_reserve_additions_mboe,reported_total_primary_usd,reported_total_alternate_usd,development_usd,exploration_usd,proved_acquisition_usd,unproved_acquisition_usd,observed_component_sum_usd,selected_all_in_reserve_investment_usd,all_in_cost_selection_method,selected_all_in_source_tags,reported_total_component_reconciliation_error,included_scope,excluded_or_unproven_scope,observed_all_in_cost_per_gross_added_boe,all_in_cost_per_boe_status
AR,2021,198960.0,0,1.0002010454362686,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2954833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,199000.0,78666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,247666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,111666.66666666666,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Bcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2020.0,2939166.6666666665,0.0,0.0,111666.66666666666,326333.33333333314,326333.3333333333,326333.3333333333,326333.3333333333,680312000.0,,581352000.0,19822000.0,,79138000.0,680312000.0,680312000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,2.084715015321757,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
AR,2022,194934.33333333334,0,1.000336865576955,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2959833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,195000.0,100666.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,99333.33333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2021.0,2954833.333333333,0.0,0.0,0.0,200000.0,200000.0,200000.0,200000.0,929658000.0,,775106000.0,5543000.0,,149009000.0,929658000.0,929658000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,4.64829,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
AR,2023,206384.66666666666,0,0.9997512735119211,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,3020166.6666666665,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,206333.3333333333,68833.33333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,197833.3333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2022.0,2959833.333333333,0.0,0.0,0.0,266666.6666666668,266666.6666666666,266666.6666666666,266666.6666666666,1115481000.0,,956267000.0,8079000.0,,151135000.0,1115481000.0,1115481000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,4.183053750000001,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
AR,2024,208665.0,0,1.0000079872842433,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,2983833.333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,208666.66666666666,130499.99999999999,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,72500.0,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,,,,30666.666666666664,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Bcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2023.0,3020166.6666666665,0.0,0.0,30666.666666666664,202999.99999999983,203000.0,203000.0,203000.0,705850000.0,,614855000.0,,,90995000.0,705850000.0,705850000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,3.477093596059113,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
AR,2025,209390.0,0,0.9997293726220609,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Bcfe,3191500.0,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Bcfe,209333.3333333333,110833.33333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Bcfe,221833.3333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Bcfe,,,,84333.33333333333,srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy,Bcfe,,,,improved_recovery;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2024.0,2983833.333333333,0.0,84333.33333333333,0.0,332666.666666667,332666.6666666666,332666.6666666666,416999.99999999994,814716000.0,,677633000.0,7836000.0,,129247000.0,814716000.0,814716000.0,PRIMARY_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredAcquisitionOfOilAndGasProperties,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,1.9537553956834535,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
CNX,2021,98374.96666666666,0,0.9999969504436935,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Mcfe,1604288.3333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Mcfe,98374.66666666666,151123.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Mcfe,-54508.33333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Mcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2019.0,,0.0,0.0,0.0,,96614.66666666667,151123.0,151123.0,,477491000.0,393641000.0,30927000.0,32355000.0,20568000.0,477491000.0,477491000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,3.1596183241465563,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
CNX,2022,96694.45000000001,0,1.0000039643778242,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Mcfe,1634481.6666666665,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Mcfe,96694.83333333333,187290.8333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Mcfe,-64553.33333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Mcfe,,,,,,,,,,improved_recovery;purchases;sales,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2021.0,1604288.3333333333,0.0,0.0,0.0,126888.16666666658,122737.49999999999,187290.8333333333,187290.8333333333,,567466000.0,526092000.0,6806000.0,19766000.0,14802000.0,567466000.0,567466000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,3.0298653164196505,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
CNX,2023,93393.16666666667,0,1.0000124919917408,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Mcfe,1456790.3333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Mcfe,93394.33333333333,97038.16666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Mcfe,-75734.83333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Mcfe,,,,,,,28048.0,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Mcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2022.0,1634481.6666666665,0.0,0.0,28048.0,-56248.99999999993,21303.33333333333,97038.16666666666,97038.16666666666,,670692000.0,637711000.0,4257000.0,2319000.0,26405000.0,670692000.0,670692000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,6.911630990555263,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
CNX,2024,91801.11666666667,0,1.0000132532883133,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Mcfe,1422990.5,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Mcfe,91802.33333333333,212669.66666666666,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Mcfe,-104149.33333333333,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Mcfe,,,,,,,3735.833333333333,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Mcfe,improved_recovery;purchases,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2023.0,1456790.3333333333,0.0,0.0,3735.833333333333,61738.33333333341,108520.33333333333,212669.66666666666,212669.66666666666,,530319000.0,500402000.0,4494000.0,10362000.0,15061000.0,530319000.0,530319000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,2.493627832836214,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
CNX,2025,104826.0,0,1.0000063597453557,srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy,Mcfe,1610357.3333333333,srt:ProvedDevelopedAndUndevelopedReserveNetEnergy,Mcfe,104826.66666666666,144489.33333333334,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy,Mcfe,11509.5,srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,Mcfe,,,,111332.16666666666,srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy,Mcfe,3595.333333333333,srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,Mcfe,improved_recovery,ROUTE_AWARE_REQUIRED_CHAIN_KPI_VERIFIED,2024.0,1422990.5,0.0,111332.16666666666,3595.333333333333,184456.66666666657,155998.83333333334,155998.83333333334,267331.0,,1022235000.0,432082000.0,6806000.0,534229000.0,49118000.0,1022235000.0,1022235000.0,ALTERNATE_REPORTED_TOTAL_RECONCILED_TO_COMPONENTS,us-gaap:CostsIncurredOilAndGasPropertyAcquisitionExplorationAndDevelopmentActivities,0.0,DEVELOPMENT_EXPLORATION_PROVED_AND_UNPROVED_ACQUISITION,LEASEHOLD_INFRASTRUCTURE_CORPORATE_CAPITAL_DRY_HOLE_OVERLAP_AND_ACQUISITION_PREMIUM_NOT_SEPARATELY_PROVEN,3.8238550710542363,OBSERVED_ALL_IN_COST_PER_GROSS_ADDED_BOE
