evidence_id,ticker,event_name,value,unit,source_kind,source_file,source_accession,source_url,source_filed_date,required_phrase,directness_grade,source_path,source_file_sha256,source_check_passed,verification_method,source_available_at,research_evidence_available_by_closure_cutoff,validation_temporality,evidence_record_sha256
ENERGEN_2018_YTD_PRODUCTION,FANG,Energen Corporation,26709.0,MBOE,SEC_PRIMARY_PINNED,,0000277595-18-000084,https://www.sec.gov/Archives/edgar/data/277595/000027759518000084/egn9301810q.htm,2018-11-08,"Total production volumes (MBOE) 9,489 7,483 26,709 18,833",A,,,True,SEC_PRIMARY_URL_ACCESSION_AND_EXCERPT_PINNED,2018-11-08,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,963b0cfa7057addbf75d293195cdb0be5197bb2b513600a84b26b11f7cf84f7f
FANG_2019_PRODUCTION_GUIDANCE_LOW,FANG,2019 conventional asset divestitures,275.0,MBOE_PER_DAY,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,2019 production guidance of 275 - 290 Mboe/d,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,f8621ecd7a1b2ced29d16a1aa38a723ea7fce33e278dc17a4baf4abde9a851ce
FANG_2019_PRODUCTION_GUIDANCE_HIGH,FANG,2019 conventional asset divestitures,290.0,MBOE_PER_DAY,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,2019 production guidance of 275 - 290 Mboe/d,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,ed961e1f515d4d323cbac79d20764014b3fbeeaa64d1c485d9dcfbe5a3ec6bbc
CBP_CORPORATE_LOE_CONTRIBUTION,FANG,2019 conventional asset divestitures,0.5,USD_PER_COMPANY_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Includes approximately $0.50/boe attributable to Central Basin Platform assets,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,dc27074fcc67bd2cdbc5e8db915f2fa2680cc864747d3db8fb9ed57ec9dfccfb
FANG_GATHERING_TRANSPORT_LOW,FANG,2019 conventional asset divestitures,0.4,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Gathering & Transportation $0.40 - $0.70,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,7ac5ad370a9e4f5884a66feea9dce302ca9f5484e775e61248b4aa554dc72222
FANG_GATHERING_TRANSPORT_HIGH,FANG,2019 conventional asset divestitures,0.7,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Gathering & Transportation $0.40 - $0.70,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,96c8b6d128c6a85727de80b1f1e06f760036e8951ba6b1e38e554d2c334c8963
FANG_DEPLETION_LOW,FANG,2019 conventional asset divestitures,13.0,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Depletion $13.00 - $15.00,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,9ce83174f1963c984d7cde6bd24195997ca26bc5b07913c89ce3c4e5721a8c84
FANG_DEPLETION_HIGH,FANG,2019 conventional asset divestitures,15.0,USD_PER_BOE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Depletion $13.00 - $15.00,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,34560c602365fd11f215801682fbdab0e3608999c252ad86a394dffee9b83b7f
FANG_PRODUCTION_TAX_RATE,FANG,2019 conventional asset divestitures,7.0,PCT_OF_REVENUE,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Production and ad valorem taxes (% of revenue) (b) 7.0%,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,4efcac3305501e1b3b9be9da78a86f68c30992b55d8c3c2bb978d7b247a96a42
FANG_CORPORATE_TAX_RATE,FANG,2019 conventional asset divestitures,23.0,PCT_OF_PRETAX_INCOME,LOCAL_SEC_IR,2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,0001539838-19-000006,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000006/diamondbackex991-2x19x19.htm,2019-02-19,Corporate tax rate (% of pre-tax income) 23%,A,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2019-02-19_0001539838-19-000006_EX-99.1_diamondbackex991-2x19x19.htm,e224853a913ab7f741e66513902a9cb84ebbe87f447a9fb47ec3d3facfbd5256,True,LOCAL_SEC_IR_EXACT_PHRASE_AND_FILE_HASH,2019-02-19,True,RETROSPECTIVE_TRANSACTION_CLOSURE_NOT_DEAL_DATE_PIT,e14178f04c3a3ef7c683d6fae02e99642a339ef8c3b7307060897b5cc8e4fc65
