ticker,annual_rows,material_mna_years,material_mna_proxy_ready_years,organic_diagnostic_years,organic_incremental_roic_after_tax_proxy_q50_pct,organic_company_roic_validated,terminal_input_allowed,status
AR,8,0,0,2,,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
CNX,8,3,0,1,,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
COP,8,7,0,1,,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
DVN,8,4,0,3,-15.613185645414973,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
EOG,8,4,1,3,-72.160201110885,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
EQT,8,6,0,0,,False,False,LOCKED_NO_ELIGIBLE_ORGANIC_ROIC_PROXY
FANG,8,6,0,1,,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
MGY,7,2,0,4,49.91869168390334,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
MTDR,8,2,0,5,3.860574995088464,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
NOG,8,0,0,6,21.4833023223623,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
OVV,6,5,0,0,,False,False,LOCKED_NO_ELIGIBLE_ORGANIC_ROIC_PROXY
PR,8,4,0,3,-35.798330688318,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
RRC,8,3,0,2,,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
SM,8,1,0,4,-45.15973813386906,False,False,DIAGNOSTIC_PROXY_AVAILABLE_NOT_VALIDATED
