scenario,forecast_year_index,revenue_usd,revenue_growth_pct,operating_margin_pct,ebit_usd,tax_rate_pct,nopat_usd,roic_pct,reinvestment_rate_pct,reinvestment_usd,fcff_usd,discount_exponent_years,discount_factor,pv_fcff_usd,terminal_reinvestment_rate_pct,terminal_fcff_usd,terminal_value_usd,pv_terminal_value_usd
bear,1,13155313492.435535,0.80699994203475,5.3486590038314175,703632859.5954025,17.0,584015273.464184,11.452064172010443,7.046764058545079,41154178.38688787,542861095.0772961,1.4182067077344285,1.123694102330304,483103981.7255577,,,,
bear,2,13267824305.360456,0.8552499565260625,5.171008773896537,686080358.9353664,17.0,569446697.9163541,10.48941606733445,8.153456312877452,46429587.73973317,523017110.1766209,2.4182067077344285,1.2200029466420816,428701513.89073735,,,,
bear,3,13387699094.114025,0.903499971017375,4.993358543961656,668495816.5558199,17.0,554851527.7413305,9.526767962658456,9.483803684090699,52621029.62916583,502230498.1121647,3.418206707734429,1.3245661668319877,379166032.3873192,,,,
bear,4,13515116518.302202,0.9517499855086875,4.815708314026775,650848589.8222852,17.0,540204329.5524967,8.564119857982462,11.113225892344074,60034127.42339177,480170202.1291049,4.418206707734429,1.4380912235867773,333894118.99163187,,,,
bear,5,13650267683.485224,1.0,4.638058084091894,633107343.7940698,17.0,525479095.3490779,7.601471753306467,13.155347180827487,69128599.3558427,456350495.9932352,5.418206707734429,1.5613462121742687,292280144.16978,13.155347180827487,460914000.9531675,6088101059.597485,3899263989.067125
base,1,14106221627.630247,6.4620500198509205,5.5452830188679245,782229912.5208546,17.0,649250827.3923093,11.452064172010443,56.42694559505327,366352411.14809155,282898416.24421775,1.4182067077344285,1.1202096024849362,252540609.9150288,,,,
base,2,14860416058.88477,5.34653751488819,5.482023335713326,814651476.1321536,17.0,676160725.1896875,10.86309176960281,49.217456947651996,332789113.817166,343371611.3725215,2.4182067077344285,1.213559297080683,282945886.69752705,,,,
base,3,15489163978.915165,4.23102500992546,5.418763652558728,839321187.7746742,17.0,696636585.8529795,10.274119367195178,41.1813884841064,286884618.74253094,409751967.1104486,3.418206707734429,1.3146880407595558,311672392.54242855,,,,
base,4,15971730819.592451,3.11551250496273,5.35550396940413,855366678.0258164,17.0,709954342.7614276,9.685146964787545,32.16794248233767,228377704.63035446,481576638.1310732,4.418206707734429,1.42424407993414,338127884.76069516,,,,
base,5,16291165435.9843,2.0,5.292244286249532,862168271.9493377,17.0,715599665.7179502,9.096174562379913,21.987264935213847,157340794.37691036,558258871.3410399,5.418206707734429,1.5429296809116055,361817442.6531254,21.987264935213847,569424048.7678608,8991046147.027967,5827255939.308788
bull,1,15064000000.000002,12.0,5.739776951672862,864640000.0000001,17.0,717651200.0000001,11.452064172010443,104.78460319257333,751987962.2267408,-34336762.22674072,1.4182067077344285,1.1167282959071276,-30747642.33393825,,,,
bull,2,16513910000.000002,9.625,6.009477379373644,992399685.9001222,17.0,823691739.2971014,11.452064172010443,84.04598381070984,692279825.8597962,131411913.43730521,2.4182067077344285,1.207135650708557,108862590.01643258,,,,
bull,3,17711168475.000004,7.25,6.279177807074427,1112115760.2557626,17.0,923056081.0122828,11.452064172010443,63.30736442884638,584362477.0890734,338693603.9232094,3.418206707734429,1.3048621446704678,259562747.91674927,,,,
bull,4,18574587938.156254,4.875,6.548878234775208,1216427146.681096,17.0,1009634531.7453097,11.452064172010443,42.56874504698291,429788749.7249606,579845782.020349,4.418206707734429,1.410500315846519,411092273.78822076,,,,
bull,5,19038952636.610157,2.5,6.818578662475991,1298185962.0388103,17.0,1077494348.4922125,11.452064172010443,21.83012566511944,235218370.31041,842275978.1818025,5.418206707734429,1.5246906725963487,552424169.2562575,21.83012566511944,863332877.6363474,15428411064.951765,10119043385.160349
