period,source_type,operating_income_usd,segment_operating_income_usd,operating_fas_cas_reconciliation_addback_usd,operating_fas_cas_effect_on_operating_income_usd,non_current_state_tax_reconciliation_addback_usd,other_nonsegment_effect_on_operating_income_usd,reconciliation_identity_error_usd,source_path,source_sha256,table_index
2019,SEC_10K,736000000.0,631000000.0,-124000000.0,124000000.0,19000000.0,-19000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2020-02-13_0001501585-20-000011_hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,13
2020,SEC_10K,799000000.0,555000000.0,-248000000.0,248000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2021-02-11_0001501585-21-000008_hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,13
2021,SEC_10K,513000000.0,683000000.0,157000000.0,-157000000.0,13000000.0,-13000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2022-02-10_0001501585-22-000007_hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,11
2022,SEC_10K,565000000.0,712000000.0,145000000.0,-145000000.0,2000000.0,-2000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2023-02-09_0001501585-23-000010_hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,11
2023,SEC_10K,781000000.0,842000000.0,72000000.0,-72000000.0,-11000000.0,11000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,9
2024,SEC_10K,535000000.0,573000000.0,62000000.0,-62000000.0,-24000000.0,24000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,9
2025,SEC_10K,657000000.0,717000000.0,35000000.0,-35000000.0,25000000.0,-25000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,10
2020Q1,SEC_10Q,215000000.0,156000000.0,-63000000.0,63000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2020-05-07_0001501585-20-000019_hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,30
2020Q2,SEC_10Q,57000000.0,-5000000.0,-63000000.0,63000000.0,1000000.0,-1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2020-08-06_0001501585-20-000035_hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,34
2020Q3,SEC_10Q,222000000.0,162000000.0,-60000000.0,60000000.0,0.0,-0.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2020-11-05_0001501585-20-000042_hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,34
2021Q1,SEC_10Q,147000000.0,191000000.0,40000000.0,-40000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2021-05-06_0001501585-21-000018_hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,26
2021Q2,SEC_10Q,128000000.0,169000000.0,37000000.0,-37000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2021-08-05_0001501585-21-000029_hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,29
2021Q3,SEC_10Q,118000000.0,163000000.0,41000000.0,-41000000.0,4000000.0,-4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2021-11-04_0001501585-21-000036_hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,32
2022Q1,SEC_10Q,138000000.0,176000000.0,37000000.0,-37000000.0,1000000.0,-1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2022-05-05_0001501585-22-000013_hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,25
2022Q2,SEC_10Q,191000000.0,225000000.0,35000000.0,-35000000.0,-1000000.0,1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2022-08-04_0001501585-22-000026_hii-20220630.htm,6b4376c95b627882e6a1b1a4637b62f7c8ea430d28acce8f2e0e82c4d5b781b6,28
2022Q3,SEC_10Q,131000000.0,166000000.0,36000000.0,-36000000.0,-1000000.0,1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2022-11-03_0001501585-22-000034_hii-20220930.htm,57998b25458f3a20d8ab189f4d1d7fc62bf7ae7299f006de9dae780a4081f114,28
2023Q1,SEC_10Q,141000000.0,156000000.0,19000000.0,-19000000.0,-4000000.0,4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-05-04_0001501585-23-000016_hii-20230331.htm,7677040d91a50e08f5092f2204c472ddc90d8ad7f1bdb3eca371625d64954a79,21
2023Q2,SEC_10Q,156000000.0,169000000.0,17000000.0,-17000000.0,-4000000.0,4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-08-03_0001501585-23-000026_hii-20230630.htm,240c989517686f107b5ebdb4e8faab041462605487b47ef2d93bb505ef3201e3,25
2023Q3,SEC_10Q,172000000.0,187000000.0,19000000.0,-19000000.0,-4000000.0,4000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-11-02_0001501585-23-000033_hii-20230930.htm,a978dd437797961c49f196e72ddcadbe80d8301e189d7eabf45e54dceab92f1e,25
2024Q1,SEC_10Q,154000000.0,170000000.0,17000000.0,-17000000.0,-1000000.0,1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,23
2024Q2,SEC_10Q,189000000.0,203000000.0,15000000.0,-15000000.0,-1000000.0,1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,26
2024Q3,SEC_10Q,82000000.0,97000000.0,16000000.0,-16000000.0,-1000000.0,1000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,26
2025Q1,SEC_10Q,161000000.0,171000000.0,10000000.0,-10000000.0,0.0,-0.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,26
2025Q2,SEC_10Q,163000000.0,172000000.0,6000000.0,-6000000.0,3000000.0,-3000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,31
