form,period,filing_date,report_date,accession_number,metric,value_usd,available,selected_concept,selected_context_ref,selection_rule,source_url,source_sha256,evidence_layer
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,receivables_usd,318000000.0,True,AccountsReceivableNetCurrent,i88f0143507644611bb16596af24b8254_I20191231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,FINANCIAL_STATEMENT
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,intangibles_ex_goodwill_usd,492000000.0,True,FiniteLivedIntangibleAssetsNet,i88f0143507644611bb16596af24b8254_I20191231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,FINANCIAL_STATEMENT
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,FINANCIAL_STATEMENT
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,debt_noncurrent_usd,1286000000.0,True,LongTermDebtNoncurrent,i88f0143507644611bb16596af24b8254_I20191231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,FINANCIAL_STATEMENT
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,contract_liabilities_usd,373000000.0,True,BillingsInExcessOfCostCurrent,i88f0143507644611bb16596af24b8254_I20191231,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,NOTE
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,fas_cas_pension_adjustment_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,NOTE
10-K,2019Q4,2020-02-13,2019-12-31,0001501585-20-000011,program_gains_losses_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,NOTE
10-Q,2020Q1,2020-05-07,2020-03-31,0001501585-20-000019,receivables_usd,418000000.0,True,AccountsReceivableNetCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT
10-Q,2020Q1,2020-05-07,2020-03-31,0001501585-20-000019,intangibles_ex_goodwill_usd,481000000.0,True,FiniteLivedIntangibleAssetsNet,i7358f11747f64266af61968c7393c4fc_I20200331,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT
10-Q,2020Q1,2020-05-07,2020-03-31,0001501585-20-000019,debt_current_usd,,False,,,HII_CONSOLIDATED_ALIAS_REPORT_DATE_CONTEXT,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,FINANCIAL_STATEMENT
