period,filing_date,total_backlog_usd,contract_awards_usd,backlog_disclosed,contract_awards_disclosed,source_url,source_sha256,historical_pit_input,segment_backlog_available
2019Q4,2020-02-13,46500000000.0,9700000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000007/hii2019q4earningsrelea.htm,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,True,False
2020Q1,2020-05-07,45200000000.0,,True,False,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000015/hii2020q1earningsrelea.htm,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,True,False
2020Q2,2020-08-06,46100000000.0,2900000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000032/hii2020q2earningsrelea.htm,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,True,False
2020Q3,2020-11-05,45300000000.0,1600000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000039/hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,True,False
2020Q4,2021-02-11,46000000000.0,3500000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,True,False
2021Q1,2021-05-06,48800000000.0,5300000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000014/hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,True,False
2021Q2,2021-08-05,47700000000.0,1200000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000027/hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,True,False
2021Q3,2021-11-04,50100000000.0,,True,False,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000034/hii2021q3earningsrelease.htm,7e596583de14f1b5e1714e6176197d0f6f5fbf58b634622f53e603a1aa20bde1,True,False
2021Q4,2022-02-10,48500000000.0,1000000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000004/hii2021q4earningsrelease.htm,16806c4afb800a60874caa081d378f70c373d51d373314c5a054e72df708bb6b,True,False
2022Q1,2022-05-05,47900000000.0,2000000000.0,True,True,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000011/hii2022q1earningsrelease.htm,f9a87909fbf6691bb78f3353e1e8bdb076c53cb71ed7ab3bc1a84cfa2dca4e44,True,False
