period,forecast_as_of,actual_available_at,actual_after_forecast,origin_rule
2023Q1,2023-02-09,2023-05-04,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2023Q2,2023-05-04,2023-08-03,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2023Q3,2023-08-03,2023-11-02,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2023Q4,2023-11-02,2024-02-01,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2024Q1,2024-02-01,2024-05-02,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2024Q2,2024-05-02,2024-08-01,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2024Q3,2024-08-01,2024-10-31,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2024Q4,2024-10-31,2025-02-06,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2025Q1,2025-02-06,2025-05-01,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2025Q2,2025-05-01,2025-07-31,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2025Q3,2025-07-31,2025-10-30,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2025Q4,2025-10-30,2026-02-05,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2026Q1,2026-02-05,2026-05-05,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
2026Q2,2026-05-05,2026-07-30,True,PRIOR_QUARTER_EARNINGS_RELEASE_DATE
