period,filing_date,accession_number,document_type,document_name,source_url,source_path,metadata_sha256,actual_sha256,hash_match,model_use,selection_reason,pdf_parsing_used
2015Q4,2016-02-18,0001501585-16-000035,EX-99.1,hii2015q4earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000035/hii2015q4earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-02-18_0001501585-16-000035_EX-99.1_hii2015q4earningsrelease.htm,b742c062a9a3c984cca147e82a6ab82c35e0310feecd58551cb70c81ada7dfa7,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2015Q4,2016-02-18,0001501585-16-000035,EX-99.2,hiiq42015earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000035/hiiq42015earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-02-18_0001501585-16-000035_EX-99.2_hiiq42015earningspresent.htm,128fac5512573423deebc48dcd87146cedf084fe83bcb1f380ef86d569934dde,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q1,2016-05-05,0001501585-16-000042,EX-99.1,hii2016q1earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000042/hii2016q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-05-05_0001501585-16-000042_EX-99.1_hii2016q1earningsrelease.htm,59d2dca22bfed0c1000efc5aaf9c5ad2ebe598e1b20b5940f4f48702c1bc338f,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q1,2016-05-05,0001501585-16-000042,EX-99.2,hiiq12016earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000042/hiiq12016earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-05-05_0001501585-16-000042_EX-99.2_hiiq12016earningspresent.htm,90be0d6341e3d431b866f0a088f628f7e883189473377f17fc8a20b883e188dd,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q2,2016-08-04,0001501585-16-000058,EX-99.1,hii2016q2earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000058/hii2016q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-08-04_0001501585-16-000058_EX-99.1_hii2016q2earningsrelease.htm,7d3b82011f0993672a2928052bc3b5ce02c05d03f3a138f3f9621a0bfafbe865,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q2,2016-08-04,0001501585-16-000058,EX-99.2,hiiq22016earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000058/hiiq22016earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-08-04_0001501585-16-000058_EX-99.2_hiiq22016earningspresent.htm,34301c91a0d3072e5082acbea214bba858808477f627c00ed7907ab8dc780783,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q3,2016-11-03,0001501585-16-000064,EX-99.1,hii2016q3earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000064/hii2016q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-11-03_0001501585-16-000064_EX-99.1_hii2016q3earningsrelease.htm,8cb4541974b6f20d98dc3ea1ecf8d3689e694930feb3b4bf5e0e3cfe70ce29b4,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
2016Q3,2016-11-03,0001501585-16-000064,EX-99.2,hiiq32016earningspresent.htm,https://www.sec.gov/Archives/edgar/data/1501585/000150158516000064/hiiq32016earningspresent.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-11-03_0001501585-16-000064_EX-99.2_hiiq32016earningspresent.htm,f621471d3b93d3b3c76e8f4988f07c848ab8efa41244d3b7772d1172edea9a16,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2016-11-04,0001193125-16-759892,EX-99.1,d288427dex991.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312516759892/d288427dex991.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-11-04_0001193125-16-759892_EX-99.1_d288427dex991.htm,e802457633038f709890764b47b1058de3cd049991eebea511e6492e0fdb1ac7,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
,2016-12-14,0001193125-16-793128,EX-99.1,d299699dex991.htm,https://www.sec.gov/Archives/edgar/data/1501585/000119312516793128/d299699dex991.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2016-12-14_0001193125-16-793128_EX-99.1_d299699dex991.htm,76e9becb4bf7e9b0a510a151034f4cdcf08b89f20d857c3c6b525ca488b04092,,,NOT_SELECTED,NON_EARNINGS_OR_OUT_OF_WINDOW,False
